outcome,horizon,beta,se,lower95,upper95,p_value_normal,n,significance
reserve_balances,0,0.1777214872305204,0.037717230608480944,0.10379571523789774,0.251647259223143,2.453645337574528e-06,93,
reserve_balances,1,0.46354872548514164,0.23362573882777618,0.005642277382700345,0.9214551735875829,0.04723901763716576,93,
reserve_balances,2,0.6180352381673523,0.2986777826741747,0.032626784125969865,1.2034436922087348,0.03852381481885714,93,
reserve_balances,4,0.6876318367549478,0.3258909447015252,0.04888558513995844,1.3263780883699372,0.034857842217660195,91,
repo_spread,0,-3.4669156606524155e-06,2.9641907890114878e-06,-9.276729607114932e-06,2.3428982858101003e-06,0.24216223353753907,31,
repo_spread,1,-9.058233945678297e-06,3.4421005186155846e-06,-1.580475096216484e-05,-2.3117169291917515e-06,0.008498369175842013,32,
repo_spread,2,-3.97686100441525e-06,2.3465288508064717e-06,-8.576057551995935e-06,6.223355431654347e-07,0.09011628632253332,33,
repo_spread,4,1.2279371831075135e-06,2.2742685656624676e-06,-3.2296292055909227e-06,5.68550357180595e-06,0.5892479289858521,33,
