job_id,treatment_variant,outcome,horizon,beta,se,lower95,upper95,z_score,p_value_normal,n,treatment_id,control_ids_used,response_type,inference_method,covariance_estimator,covariance_lags,rsquared,warning_flags,dropped_control_ids
baseline_tdc_lp_inflation,tdc_base_broad_depository_np_cu_ru_flow,core_pce_inflation_qoq_ann,2,4.0784510967268835e-07,4.934110216965994e-07,-5.592404928526465e-07,1.3749307121980232e-06,0.826582892839135,0.4084735169188449,92,tdc_base_broad_depository_np_cu_ru_flow,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,dflmx_k100_f1,dflmx_k100_f2,dflmx_k100_f3,dflmx_k100_f4",direct_at_h,ols_newey_west_scaffold,newey_west,2,0.585138,,
baseline_tdc_lp_inflation,tdc_base_broad_depository_np_cu_ru_flow,core_pce_inflation_qoq_ann,4,1.047720920912535e-06,4.3630204919338305e-07,1.925689044935043e-07,1.902872937331566e-06,2.4013660326590665,0.01633398873322056,90,tdc_base_broad_depository_np_cu_ru_flow,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,dflmx_k100_f1,dflmx_k100_f2,dflmx_k100_f3,dflmx_k100_f4",direct_at_h,ols_newey_west_scaffold,newey_west,4,0.502332,,
baseline_tdc_lp_inflation,tdc_base_broad_depository_np_cu_ru_flow,core_pce_inflation_qoq_ann,8,1.388473232656785e-06,6.51868865818503e-07,1.1081025565251913e-07,2.666136209661051e-06,2.1299885689637637,0.03317255711431555,86,tdc_base_broad_depository_np_cu_ru_flow,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,dflmx_k100_f1,dflmx_k100_f2,dflmx_k100_f3,dflmx_k100_f4",direct_at_h,ols_newey_west_scaffold,newey_west,8,0.475688,,
baseline_tdc_lp_inflation,tdc_no_remit_bank_only,headline_cpi_inflation_qoq_ann,0,-1.0041815653466883e-06,1.5507920023345529e-06,-4.043733889922412e-06,2.0353707592290355e-06,-0.6475282074159523,0.5172901446721223,93,tdc_no_remit_bank_only,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,dflmx_k100_f1,dflmx_k100_f2,dflmx_k100_f3,dflmx_k100_f4",direct_at_h,ols_newey_west_scaffold,newey_west,1,0.461024,,
baseline_tdc_lp_inflation,tdc_no_remit_bank_only,headline_cpi_inflation_qoq_ann,1,-5.601370625305439e-07,1.6692050354523476e-06,-3.831778932017145e-06,2.711504806956057e-06,-0.33557115551041283,0.7371942784627807,93,tdc_no_remit_bank_only,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,dflmx_k100_f1,dflmx_k100_f2,dflmx_k100_f3,dflmx_k100_f4",direct_at_h,ols_newey_west_scaffold,newey_west,1,0.335154,,
baseline_tdc_lp_inflation,tdc_no_remit_bank_only,headline_cpi_inflation_qoq_ann,2,1.2800110421392404e-06,8.948909305562195e-07,-4.7397518175094966e-07,3.0339972660294303e-06,1.430354245900838,0.1526153730257196,92,tdc_no_remit_bank_only,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,dflmx_k100_f1,dflmx_k100_f2,dflmx_k100_f3,dflmx_k100_f4",direct_at_h,ols_newey_west_scaffold,newey_west,2,0.356068,,
baseline_tdc_lp_inflation,tdc_no_remit_bank_only,headline_cpi_inflation_qoq_ann,4,5.928408051787465e-07,9.294889170713837e-07,-1.2289574722811657e-06,2.4146390826386584e-06,0.6378137428971807,0.5235949324558835,90,tdc_no_remit_bank_only,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,dflmx_k100_f1,dflmx_k100_f2,dflmx_k100_f3,dflmx_k100_f4",direct_at_h,ols_newey_west_scaffold,newey_west,4,0.242639,,
baseline_tdc_lp_inflation,tdc_no_remit_bank_only,headline_cpi_inflation_qoq_ann,8,1.846521055479695e-06,9.934067231413353e-07,-1.0055612187732232e-07,3.793598232836712e-06,1.8587764834534788,0.06305882712156019,86,tdc_no_remit_bank_only,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,dflmx_k100_f1,dflmx_k100_f2,dflmx_k100_f3,dflmx_k100_f4",direct_at_h,ols_newey_west_scaffold,newey_west,8,0.186578,,
baseline_tdc_lp_inflation,tdc_no_remit_bank_only,core_cpi_inflation_qoq_ann,0,-2.0233449965596164e-07,5.643544093920203e-07,-1.3084691420643215e-06,9.038001427523982e-07,-0.35852382171326846,0.7199513439727709,93,tdc_no_remit_bank_only,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,dflmx_k100_f1,dflmx_k100_f2,dflmx_k100_f3,dflmx_k100_f4",direct_at_h,ols_newey_west_scaffold,newey_west,1,0.622395,,
baseline_tdc_lp_inflation,tdc_no_remit_bank_only,core_cpi_inflation_qoq_ann,1,-9.898467549028683e-07,8.979242883273556e-07,-2.7497783600244854e-06,7.700848502187487e-07,-1.1023721796708996,0.270299901173102,93,tdc_no_remit_bank_only,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,dflmx_k100_f1,dflmx_k100_f2,dflmx_k100_f3,dflmx_k100_f4",direct_at_h,ols_newey_west_scaffold,newey_west,1,0.661119,,
