feature_id,coverage_share,abs_corr_treatment,abs_corr_outcome_max,screen_score
q__bogz1fa313161105q_tsy_net_tx__lag002,0.990596,0.414269,0.533465,0.93882136
m__psavert_psavert__lag008,0.836991,0.394512,0.687208,0.90538932
q__tgdef_net_gov_sav__lag001,0.990596,0.299427,0.580295,0.87144918
q__bogz1fl712051000q_fed_rrp__lag005,0.99373,0.310544,0.566293,0.87133978
q__fbtsatq027s_dom_fin_sector_tsy_tx__lag002,0.990596,0.325601,0.545026,0.86243838
q__bogz1fl313024000q_tres_oper_cash__lag001,1.0,0.299318,0.557761,0.85707892
q__bogz1fl712051000q_fed_rrp__lag004,0.996865,0.355202,0.494879,0.84741639
q__psave_psave__lag002,0.987461,0.245367,0.593568,0.82841586
m__ipfinal_ipfinal__lag009,1.0,0.330061,0.482256,0.81231756
q__psave_psave__lag001,0.990596,0.247527,0.563659,0.80355803
m__psavert_psavert__lag009,0.836991,0.300024,0.649001,0.79432491
q__bogz1fl313024000q_tres_oper_cash__lag002,1.0,0.222418,0.558316,0.7807343
q__bogz1fa403061105q_gses_ts_tx__lag003,0.987461,0.360396,0.422278,0.77285968
q__tgdef_net_gov_sav__lag002,0.987461,0.220288,0.558327,0.76885238
q__bogz1fa343061113q_fed_gov_dcf_retirement_ts_tx__lag004,0.984326,0.342699,0.433526,0.76405898
q__bogz1fl712051000q_fed_rrp__lag003,1.0,0.370059,0.391505,0.76156325
m__ipcongd_ipcongd__lag009,1.0,0.303923,0.452815,0.75673755
m__unrate_unrate__lag009,0.974922,0.255691,0.518085,0.75437127
q__fgdef_fgdef__lag001,0.990596,0.228628,0.52861,0.75011744
m__psavert_psavert__lag004,0.840125,0.268225,0.618974,0.74535869
q__bogz1fl713123030q_tga__lag001,1.0,0.226435,0.506108,0.73254282
q__bogz1fl713123030q_tga_z1__lag001,1.0,0.226435,0.506108,0.73254282
m__ipfinal_ipfinal__lag008,1.0,0.279011,0.449692,0.72870285
q__bogz1fa713061103q_cb_tsy_tx__lag002,0.990596,0.221588,0.500645,0.71544043
q__fgdef_fgdef__lag002,0.987461,0.205656,0.515513,0.71212533
q__bogz1fl713123030q_tga__lag002,1.0,0.194993,0.516213,0.71120653
