feature_id,coverage_share,abs_corr_treatment,abs_corr_outcome_max,screen_score
q__bogz1fl712051000q_fed_rrp__lag003,1.0,0.389429,0.310463,0.69989122
q__bogz1fl712051000q_fed_rrp__lag004,0.996865,0.492892,0.194093,0.68483098
q__bogz1fl313024000q_tres_oper_cash__lag001,1.0,0.557432,0.112552,0.66998426
q__bogz1fl313024000q_tres_oper_cash__lag002,1.0,0.55783,0.106227,0.66405746
q__tgdef_net_gov_sav__lag001,0.990596,0.579238,0.090748,0.66368447
q__bogz1fl712051000q_fed_rrp__lag005,0.99373,0.566164,0.084622,0.6467062
q__bogz1fa313161105q_tsy_net_tx__lag002,0.990596,0.533072,0.115818,0.64278754
q__psave_psave__lag002,0.987461,0.593486,0.056093,0.6414343
q__bogz1fa403061105q_gses_ts_tx__lag003,0.987461,0.422412,0.221064,0.63540764
m__psavert_psavert__lag008,0.836991,0.687234,0.071604,0.63513999
q__fbtsatq027s_dom_fin_sector_tsy_tx__lag002,0.990596,0.545253,0.086085,0.62540089
q__psave_psave__lag001,0.990596,0.563715,0.053279,0.61119248
m__ipfinal_ipfinal__lag003,1.0,0.398654,0.204431,0.60308578
q__bogz1fa713061103q_cb_tsy_tx__lag002,0.990596,0.500689,0.106836,0.60181152
q__fgdef_fgdef__lag001,0.990596,0.527931,0.078261,0.60049155
q__bogz1fr753061103q_usb_tsy_for_reval__lag005,0.981191,0.358265,0.24693,0.59381206
m__unrate_unrate__lag003,0.981191,0.391979,0.210806,0.59144751
q__bogz1fa713061113q_cb_bills_tx__lag002,0.990596,0.133756,0.4603,0.58846857
q__bogz1fa713061103q_cb_tsy_tx__lag001,0.99373,0.413798,0.170865,0.5809972
q__bogz1fl713123030q_tga__lag002,1.0,0.516068,0.063892,0.57995962
q__bogz1fl713123030q_tga_z1__lag002,1.0,0.516068,0.063892,0.57995962
m__ipfinal_ipfinal__lag002,1.0,0.399875,0.175809,0.57568407
q__bogz1fl713123030q_tga__lag001,1.0,0.505979,0.069391,0.57537027
q__bogz1fl713123030q_tga_z1__lag001,1.0,0.505979,0.069391,0.57537027
m__psavert_psavert__lag009,0.836991,0.648989,0.034208,0.57182922
m__psavert_psavert__lag003,0.84326,0.47886,0.198081,0.57083787
m__ipfinal_ipfinal__lag009,1.0,0.475268,0.095252,0.57052072
m__ipbuseq_ipbuseq__lag003,0.99373,0.264442,0.305171,0.56604176
q__bogz1fa403061105q_gses_ts_tx__lag004,0.984326,0.405737,0.169027,0.56575533
q__tgdef_net_gov_sav__lag002,0.987461,0.557179,0.012076,0.56211761
m__ipfinal_ipfinal__lag006,1.0,0.36763,0.193479,0.56110843
m__unrate_unrate__lag006,0.978056,0.443067,0.128879,0.55939506
m__ipfinal_ipfinal__lag004,1.0,0.388292,0.170501,0.55879394
m__psavert_psavert__lag006,0.840125,0.569451,0.093342,0.55682975
m__psavert_psavert__lag004,0.840125,0.618626,0.043415,0.55619699
m__unrate_unrate__lag002,0.981191,0.375237,0.190363,0.55496234
m__ipfinal_ipfinal__lag005,1.0,0.37838,0.175682,0.55406149
m__psavert_psavert__lag002,0.84326,0.48192,0.172957,0.55223196
q__bogz1fr403061105q_gses_ts_reval__lag005,0.981191,0.33567,0.220772,0.54597608
m__unrate_unrate__lag009,0.974922,0.518114,0.041716,0.54579063
m__ipbuseq_ipbuseq__lag006,0.990596,0.222265,0.328366,0.54545317
m__indpro_indpro__lag003,1.0,0.258463,0.286791,0.5452542
m__usalolitoaastsam_oecd_leading_indicator_us__lag009,0.887147,0.418523,0.195659,0.54486997
m__ipbuseq_ipbuseq__lag002,0.99373,0.255745,0.290511,0.54283142
q__bogz1fa713061103q_cb_tsy_tx__lag004,0.984326,0.45367,0.096579,0.5416238
m__ipbuseq_ipbuseq__lag005,0.990596,0.222162,0.324385,0.54140651
m__ipfinal_ipfinal__lag008,1.0,0.44091,0.095107,0.53601695
q__bogz1fr343061113q_fed_gov_dcf_retirement_ts_reval__lag005,0.981191,0.318333,0.227115,0.53518913
m__psavert_psavert__lag007,0.836991,0.572411,0.066789,0.53500411
m__unrate_unrate__lag001,0.981191,0.372287,0.170993,0.53306189
q__bogz1fr103061103q_nfcb_tsy_reval__lag005,0.981191,0.277194,0.263844,0.53086113
q__bogz1fr573061105q_private_pension_ts_reval__lag005,0.981191,0.316386,0.221462,0.52773174
q__ad02rc1q027sbea_gov_netlending__lag001,0.833856,0.521734,0.110531,0.52721747
q__fbtsatq027s_dom_fin_sector_tsy_tx__lag004,0.984326,0.515762,0.019791,0.52715816
q__bogz1fr573061143q_private_db_pension_ts_reval__lag005,0.981191,0.325352,0.211328,0.52658577
q__psave_psave__lag004,0.981191,0.379903,0.156645,0.52645608
m__indpro_indpro__lag002,1.0,0.264497,0.26181,0.52630755
m__unrate_unrate__lag005,0.978056,0.409397,0.126103,0.52374898
m__ipbuseq_ipbuseq__lag004,0.990596,0.23395,0.294088,0.523072
q__bogz1fr593061105q_pension_ts_reval__lag005,0.981191,0.316808,0.216248,0.52303001
q__bogz1fr573061133q_private_dc_pension_ts_reval__lag005,0.981191,0.299679,0.23183,0.52151288
q__bogz1fa713061103q_cb_tsy_tx__lag003,0.987461,0.509629,0.017068,0.52009284
q__psave_psave__lag003,0.984326,0.447706,0.07725,0.5167275
q__bogz1fr343061105q_fed_gov_retirement_ts_reval__lag005,0.981191,0.310728,0.215237,0.51607234
q__fgdef_fgdef__lag002,0.987461,0.514819,0.006684,0.51496359
q__fbtsatq027s_dom_fin_sector_tsy_tx__lag003,0.987461,0.466492,0.053563,0.51353453
m__usalolitoaastsam_oecd_leading_indicator_us__lag008,0.887147,0.366146,0.212548,0.513387
m__unrate_unrate__lag004,0.978056,0.400449,0.124349,0.51328221
m__indpro_indpro__lag005,1.0,0.268617,0.244295,0.51291145
q__bogz1fr263061105q_row_bills_reval__lag005,0.981191,0.332955,0.188009,0.51116505
q__bogz1fr263061105q_row_tsy_reval__lag005,0.981191,0.332955,0.188009,0.51116505
m__ipcongd_ipcongd__lag009,1.0,0.453125,0.057765,0.51089011
m__psavert_psavert__lag001,0.84326,0.497023,0.108748,0.51082285
q__bogz1fr223061143q_state_local_db_retirement_ts_reval__lag005,0.981191,0.312195,0.208416,0.51081958
q__bogz1fr793061105q_dom_fin_sector_tsy_reval__lag005,0.981191,0.273877,0.244265,0.50839651
q__bogz1fr653061105q_mutual_funds_ts_reval__lag005,0.981191,0.279371,0.237738,0.5073832
m__indpro_indpro__lag006,1.0,0.252847,0.254354,0.50720073
q__bogz1fr263061145q_row_priv_tsy_reval__lag005,0.981191,0.305204,0.208575,0.50411591
q__bogz1fr693061105q_nonmmf_ts_reval__lag005,0.981191,0.269288,0.242019,0.50168982
q__bogz1fr693061105q_nonmmmf_ts_reval__lag005,0.981191,0.269288,0.242019,0.50168982
q__tgdef_net_gov_sav__lag004,0.981191,0.387042,0.123341,0.50078281
m__ipfinal_ipfinal__lag007,1.0,0.37527,0.124479,0.49974938
q__bogz1fa343061113q_fed_gov_dcf_retirement_ts_tx__lag004,0.984326,0.431948,0.071878,0.49592928
m__psavert_psavert__lag005,0.840125,0.557437,0.032551,0.4956632
m__unrate_unrate__lag008,0.974922,0.471015,0.037149,0.49542031
q__bogz1fa713061113q_cb_bills_tx__lag003,0.987461,0.272451,0.228634,0.4948018
m__ipbuseq_ipbuseq__lag009,0.987461,0.254194,0.244273,0.49221661
q__bogz1fr713061103q_cb_tsy_reval__lag005,0.981191,0.245228,0.255531,0.49133998
m__usalolitoaastsam_oecd_leading_indicator_us__lag007,0.887147,0.313806,0.23817,0.48968402
m__indpro_indpro__lag004,1.0,0.239963,0.247351,0.48731407
m__tcu_tcu__lag003,0.742947,0.366316,0.288815,0.4867268
m__fedfunds_fed_funds__lag001,0.899687,0.386471,0.152957,0.48531599
q__bogz1fa653061105q_mutual_funds_ts_tx__lag001,0.99373,0.31273,0.175199,0.48486913
m__psavert_psavert__lag011,0.833856,0.512308,0.068106,0.48398119
q__bogz1fr383061105q_dom_nonfin_sector_tsy_reval__lag005,0.981191,0.246579,0.245858,0.48317491
d__dgs5_dgs5__lag025,0.805643,0.469591,0.126789,0.48046914
m__unrate_unrate__lag007,0.974922,0.446532,0.045729,0.47991557
q__bogz1fa223061143q_state_local_db_retirement_ts_tx__lag005,0.981191,0.355908,0.133009,0.47972081
q__bogz1fr663061165q_brokers_dealers_long_ts_reval__lag005,0.981191,0.246918,0.240842,0.47858585
d__dgs5_dgs5__lag023,0.805643,0.463243,0.13028,0.47816762
q__bogz1fr153061105q_hhnp_tsy_reval__lag005,0.981191,0.239465,0.247507,0.4778126
d__dgs5_dgs5__lag026,0.805643,0.467648,0.125003,0.47746479
m__ipcongd_ipcongd__lag008,1.0,0.418043,0.059015,0.47705832
d__dgs5_dgs5__lag024,0.805643,0.465713,0.125965,0.47668127
m__indpro_indpro__lag009,1.0,0.309566,0.16655,0.47611563
m__tcu_tcu__lag005,0.739812,0.403955,0.239446,0.47599623
q__bogz1lm903061103q_instrument_discrepancies_ts__lag002,1.0,0.436532,0.039152,0.47568407
m__ipbuseq_ipbuseq__lag008,0.987461,0.228867,0.252838,0.47566458
q__bogz1fa633061105q_money_market_funds_ts_tx__lag004,0.984326,0.436182,0.046716,0.47532936
d__dgs5_dgs5__lag022,0.805643,0.464738,0.124722,0.47489353
m__ipbuseq_ipbuseq__lag007,0.987461,0.191314,0.289083,0.4743738
d__dgs5_dgs5__lag027,0.805643,0.465868,0.122371,0.47391044
m__psavert_psavert__lag012,0.833856,0.471926,0.096278,0.47380018
q__bogz1fa313161105q_tsy_net_tx__lag004,0.984326,0.459146,0.021991,0.47359506
d__dgs5_dgs5__lag021,0.805643,0.467565,0.119398,0.47288251
q__bogz1fr743061103q_usb_tsy_dom_reval__lag005,0.981191,0.287662,0.194104,0.47270427
m__tcu_tcu__lag006,0.739812,0.393034,0.244799,0.47187654
d__dgs3_dgs3__lag025,0.805643,0.466033,0.119405,0.47165398
q__tgdef_net_gov_sav__lag003,0.984326,0.437201,0.041632,0.47132769
d__dgs5_dgs5__lag020,0.805643,0.462715,0.121565,0.47072041
q__bogz1fa763061100q_usb_tsy_oth_tx__lag002,0.990596,0.364408,0.110697,0.47063767
d__dgs3_dgs3__lag023,0.805643,0.461158,0.122105,0.46990158
d__dgs5_dgs5__lag034,0.805643,0.467787,0.115145,0.46963438
d__dgs3_dgs3__lag026,0.805643,0.463832,0.118582,0.46921755
d__dgs3_dgs3__lag024,0.805643,0.463381,0.118978,0.46917346
d__dgs5_dgs5__lag035,0.805643,0.464674,0.117657,0.46915017
m__usalolitoaastsam_oecd_leading_indicator_us__lag006,0.890282,0.263672,0.263181,0.46904786
d__dgs5_dgs5__lag028,0.805643,0.463893,0.118137,0.46890878
d__dgs5_dgs5__lag033,0.805643,0.466297,0.115442,0.46867314
d__dgs3_dgs3__lag021,0.805643,0.466933,0.113924,0.46796304
m__tcu_tcu__lag002,0.742947,0.365203,0.264054,0.46750498
d__dgs5_dgs5__lag016,0.805643,0.465738,0.11442,0.46739969
d__dgs3_dgs3__lag020,0.805643,0.463677,0.116275,0.46723416
m__fedfunds_fed_funds__lag002,0.899687,0.377927,0.140596,0.46650866
d__dgs3_dgs3__lag022,0.805643,0.462909,0.115994,0.46638893
m__ipdcongd_ipdcongd__lag009,0.987461,0.394443,0.077546,0.4660705
d__dgs5_dgs5__lag037,0.805643,0.468957,0.109484,0.46601695
d__dgs3_dgs3__lag027,0.805643,0.462914,0.115332,0.46585953
m__indpro_indpro__lag008,1.0,0.294885,0.170824,0.46570806
d__dgs3_dgs3__lag016,0.805643,0.46515,0.112742,0.4655744
d__dgs5_dgs5__lag036,0.805643,0.466634,0.110761,0.46517434
d__dgs5_dgs5__lag085,0.805643,0.454991,0.121872,0.464746
d__dgs5_dgs5__lag041,0.805643,0.465748,0.110989,0.46464415
q__bogz1fa713061113q_cb_bills_tx__lag005,0.981191,0.333752,0.139778,0.46462391
d__dgs5_dgs5__lag042,0.805643,0.466712,0.109649,0.46434088
d__dgs5_dgs5__lag029,0.805643,0.466585,0.109641,0.46423209
d__dgs5_dgs5__lag090,0.802508,0.466701,0.111516,0.46402376
d__dgs3_dgs3__lag028,0.805643,0.462724,0.113081,0.46389292
d__dgs5_dgs5__lag086,0.805643,0.454528,0.121142,0.46378392
m__ipcongd_ipcongd__lag010,1.0,0.371556,0.09217,0.46372609
d__dgs3_dgs3__lag033,0.805643,0.461083,0.113493,0.4629029
d__dgs3_dgs3__lag034,0.805643,0.462465,0.112061,0.46286237
d__dgs5_dgs5__lag084,0.805643,0.454342,0.120087,0.46278456
d__dgs5_dgs5__lag083,0.805643,0.4547,0.119429,0.46254321
q__ad02rc1q027sbea_gov_netlending__lag002,0.830721,0.508543,0.048128,0.46243855
q__bogz1fr473061105q_credit_unions_ts_reval__lag005,0.981191,0.23411,0.237117,0.46236409
d__dgs5_dgs5__lag032,0.805643,0.463827,0.109885,0.46220673
d__dgs5_dgs5__lag089,0.805643,0.461361,0.112194,0.46208025
d__dgs5_dgs5__lag031,0.805643,0.461201,0.112209,0.4619636
d__dgs5_dgs5__lag088,0.805643,0.454818,0.118398,0.46180704
d__dgs5_dgs5__lag087,0.805643,0.455278,0.117901,0.46177714
d__dgs3_dgs3__lag035,0.805643,0.459547,0.113557,0.4617175
q__bogz1fa713061103q_cb_tsy_tx__lag008,0.971787,0.221073,0.253469,0.4611528
d__dgs3_dgs3__lag029,0.805643,0.464884,0.107474,0.46111634
