job_id,estimator,freq,release1_scope,status,usable_rows,sample_policy,requested_sample_rows,headline_eligible_rows,reviewed_nonmissing_rows,missing_required_series_count,missing_state_ids_count,missing_instrument_ids_count,bundle_path,design_manifest_path,sample_manifest_path,diagnostics_manifest_path,final_sample_observations
baseline_tdc_lp_deposits,lp,quarterly,,ready_for_estimation,68,,0,0,0,0,0,0,data/bundles/designs/baseline_tdc_lp_deposits__quarterly_bundle.csv,output/manifests/baseline_tdc_lp_deposits__design_manifest.json,output/manifests/baseline_tdc_lp_deposits__sample_manifest.json,,68
baseline_tdc_lp_funding,lp,quarterly,,ready_for_estimation,68,,0,0,0,0,0,0,data/bundles/designs/baseline_tdc_lp_funding__quarterly_bundle.csv,output/manifests/baseline_tdc_lp_funding__design_manifest.json,output/manifests/baseline_tdc_lp_funding__sample_manifest.json,,31
baseline_tdc_lp_credit_spreads,lp,quarterly,,ready_for_estimation,68,,0,0,0,0,0,0,data/bundles/designs/baseline_tdc_lp_credit_spreads__quarterly_bundle.csv,output/manifests/baseline_tdc_lp_credit_spreads__design_manifest.json,output/manifests/baseline_tdc_lp_credit_spreads__sample_manifest.json,,68
tdc_lpiv_deposits_qra_ru_gap,lp_iv,quarterly,deferred,ready_for_estimation,68,,0,0,0,0,0,0,data/bundles/designs/tdc_lpiv_deposits_qra_ru_gap__quarterly_bundle.csv,output/manifests/tdc_lpiv_deposits_qra_ru_gap__design_manifest.json,output/manifests/tdc_lpiv_deposits_qra_ru_gap__sample_manifest.json,output/manifests/tdc_lpiv_deposits_qra_ru_gap__iv_diagnostics.json,64
tdc_lpiv_deposits_qra_bank_absorption,lp_iv,quarterly,deferred,ready_for_estimation,68,,0,0,0,0,0,0,data/bundles/designs/tdc_lpiv_deposits_qra_bank_absorption__quarterly_bundle.csv,output/manifests/tdc_lpiv_deposits_qra_bank_absorption__design_manifest.json,output/manifests/tdc_lpiv_deposits_qra_bank_absorption__sample_manifest.json,output/manifests/tdc_lpiv_deposits_qra_bank_absorption__iv_diagnostics.json,64
qra_event_rates_63bd,event_lp,irregular_event,,ready_for_estimation,14,reviewed_nonmissing,14,4,14,0,0,0,data/bundles/designs/qra_event_rates_63bd__event_panel.csv,output/manifests/qra_event_rates_63bd__design_manifest.json,output/manifests/qra_event_rates_63bd__sample_manifest.json,,14
qra_event_risk_21bd,event_lp,irregular_event,,ready_for_estimation,14,reviewed_nonmissing,14,4,14,0,0,0,data/bundles/designs/qra_event_risk_21bd__event_panel.csv,output/manifests/qra_event_risk_21bd__design_manifest.json,output/manifests/qra_event_risk_21bd__sample_manifest.json,,14
tdc_state_dep_low_reserves,lp,quarterly,,ready_for_estimation,68,,0,0,0,0,0,0,data/bundles/designs/tdc_state_dep_low_reserves__quarterly_bundle.csv,output/manifests/tdc_state_dep_low_reserves__design_manifest.json,output/manifests/tdc_state_dep_low_reserves__sample_manifest.json,,31
