feature_id,coverage_share,abs_corr_treatment,abs_corr_outcome_max,screen_score
q__bogz1fl713061113q_cb_bills__lag002,1.0,0.008365,0.805594,0.81395865
q__bogz1lm343061165q_fed_gov_db_retirement_ts__lag001,1.0,0.16496,0.642261,0.80722088
q__bogz1lm343061165q_fed_ret_tsy_db__lag001,1.0,0.16496,0.642261,0.80722088
m__ipbuseq_ipbuseq__lag007,0.987461,0.191314,0.622835,0.80394059
q__bogz1fl712151003q_fed_repo__lag003,1.0,0.253626,0.54987,0.8034956
q__bogz1fa713061103q_cb_tsy_tx__lag004,0.984326,0.45367,0.361661,0.80255118
m__permit_permit__lag005,0.827586,0.163176,0.805985,0.8020644
q__bogz1lm403061105q_gses_ts__lag007,0.987461,0.041106,0.769512,0.80045348
q__bogz1lm403061105q_gse_tsy__lag007,0.987461,0.041106,0.769512,0.80045348
q__bogz1fl712051000q_fed_rrp__lag005,0.99373,0.566164,0.237728,0.79885193
m__permit_permit__lag008,0.824451,0.204954,0.763961,0.79882346
q__bogz1fl753061103q_usb_tsy_for__lag001,1.0,0.187754,0.609452,0.79720575
q__bogz1lm403061105q_gses_ts__lag002,1.0,0.352258,0.443221,0.79547948
q__bogz1lm403061105q_gse_tsy__lag002,1.0,0.352258,0.443221,0.79547948
q__bogz1lm343061113q_fed_gov_dcf_retirement_ts__lag003,1.0,0.184768,0.605308,0.79007638
q__bogz1lm343061113q_fed_gov_dc_retirement_ts__lag003,1.0,0.184768,0.605308,0.79007638
q__bogz1lm343061113q_fed_ret_tsy_dc__lag003,1.0,0.184768,0.605308,0.79007638
q__bogz1fa313161105q_tsy_net_tx__lag002,0.990596,0.533072,0.263996,0.78957153
q__rhvrusq156n_owner_vacancy__lag001,0.877743,0.062759,0.835166,0.78814756
m__permit_permit__lag011,0.821317,0.220944,0.738462,0.78797586
q__bogz1fl593061105q_pension_ts__lag008,0.984326,0.102744,0.697342,0.78754477
q__bogz1fa713061103q_cb_tsy_tx__lag003,0.987461,0.509629,0.285588,0.78524534
q__bogz1lm573061105q_private_pension_ts__lag008,0.984326,0.060177,0.737194,0.78487308
m__ipbuseq_ipbuseq__lag008,0.987461,0.228867,0.564092,0.78301584
q__bogz1lm573061105q_private_pension_ts__lag001,1.0,0.185158,0.593586,0.77874394
q__bogz1lm343061113q_fed_gov_dcf_retirement_ts__lag002,1.0,0.212484,0.565194,0.77767796
q__bogz1lm343061113q_fed_gov_dc_retirement_ts__lag002,1.0,0.212484,0.565194,0.77767796
q__bogz1lm343061113q_fed_ret_tsy_dc__lag002,1.0,0.212484,0.565194,0.77767796
q__fbtsaaq027s_dom_fin_sector_tsy__lag001,1.0,0.164378,0.608727,0.77310559
q__fgdef_fgdef__lag004,0.981191,0.344919,0.442736,0.77284014
m__ipbuseq_ipbuseq__lag010,0.984326,0.140022,0.643594,0.77133324
q__bogz1lm343061165q_fed_gov_db_retirement_ts__lag002,1.0,0.155919,0.615181,0.77110005
q__bogz1lm343061165q_fed_ret_tsy_db__lag002,1.0,0.155919,0.615181,0.77110005
q__bogz1lm343061113q_fed_gov_dcf_retirement_ts__lag004,0.996865,0.155871,0.617443,0.77089031
q__bogz1lm343061113q_fed_gov_dc_retirement_ts__lag004,0.996865,0.155871,0.617443,0.77089031
q__bogz1lm343061113q_fed_ret_tsy_dc__lag004,0.996865,0.155871,0.617443,0.77089031
m__houst_houst__lag007,0.836991,0.195525,0.725122,0.77057359
q__bogz1fl702050005q_usb_ffrrp__lag005,0.99373,0.253289,0.519963,0.76840364
m__ipbuseq_ipbuseq__lag004,0.990596,0.23395,0.540381,0.7670496
m__ipbuseq_ipbuseq__lag009,0.987461,0.254194,0.52203,0.76649034
q__bogz1fl713061103q_fed_tsy__lag004,0.996865,0.02582,0.742771,0.7661817
q__bogz1fl713061103q_fed_tsy_raw__lag004,0.996865,0.02582,0.742771,0.7661817
q__bogz1fl713061103q_cb_tsy__lag004,0.996865,0.02582,0.742771,0.7661817
m__permit_permit__lag007,0.824451,0.188573,0.735258,0.76165357
