feature_id,coverage_share,abs_corr_treatment,abs_corr_outcome_max,screen_score
q__psave_psave__lag002,0.987461,0.593486,0.314693,0.89679196
m__psavert_psavert__lag008,0.836991,0.687234,0.381473,0.89449771
q__bogz1lm903061103q_instrument_discrepancies_ts__lag002,1.0,0.436532,0.444215,0.88074737
q__psave_psave__lag001,0.990596,0.563715,0.321319,0.8767115
q__bogz1lm903061103q_instrument_discrepancies_ts__lag001,1.0,0.403847,0.468988,0.87283545
q__bogz1fa313161105q_tsy_net_tx__lag002,0.990596,0.533072,0.317671,0.84274168
q__bogz1fa713061103q_cb_tsy_tx__lag001,0.99373,0.413798,0.423813,0.83235965
m__psavert_psavert__lag009,0.836991,0.648989,0.34522,0.83214323
m__psavert_psavert__lag004,0.840125,0.618626,0.367121,0.8281507
q__tgdef_net_gov_sav__lag001,0.990596,0.579238,0.254953,0.82634533
q__fbtsatq027s_dom_fin_sector_tsy_tx__lag002,0.990596,0.545253,0.287184,0.82460874
m__psavert_psavert__lag001,0.84326,0.497023,0.457104,0.80457724
q__tgdef_net_gov_sav__lag002,0.987461,0.557179,0.24971,0.79677172
m__psavert_psavert__lag005,0.840125,0.557437,0.388716,0.79488648
m__psavert_psavert__lag007,0.836991,0.572411,0.372986,0.7912885
q__bogz1fa343061113q_fed_gov_dcf_retirement_ts_tx__lag004,0.984326,0.431948,0.370287,0.78966021
q__psave_psave__lag003,0.984326,0.447706,0.346738,0.78199116
m__psavert_psavert__lag006,0.840125,0.569451,0.357487,0.77874409
q__bogz1fl712051000q_fed_rrp__lag005,0.99373,0.566164,0.20314,0.76448028
q__bogz1fa713061103q_cb_tsy_tx__lag002,0.990596,0.500689,0.270568,0.76400378
q__bogz1lm903061103q_instrument_discrepancies_ts__lag003,1.0,0.405534,0.357853,0.7633875
m__psavert_psavert__lag011,0.833856,0.512308,0.392239,0.75426199
d__dgs5_dgs5__lag025,0.805643,0.469591,0.462979,0.75131815
d__dgs5_dgs5__lag026,0.805643,0.467648,0.46377,0.75039042
d__dgs5_dgs5__lag016,0.805643,0.465738,0.465321,0.75010025
d__dgs5_dgs5__lag023,0.805643,0.463243,0.46607,0.7486944
d__dgs5_dgs5__lag027,0.805643,0.465868,0.462869,0.74823004
d__dgs5_dgs5__lag024,0.805643,0.465713,0.461381,0.74690602
d__dgs5_dgs5__lag005,0.805643,0.450746,0.474801,0.74565977
d__dgs5_dgs5__lag002,0.805643,0.45351,0.47178,0.74545323
d__dgs5_dgs5__lag021,0.805643,0.467565,0.457432,0.74521676
d__dgs5_dgs5__lag018,0.805643,0.467351,0.457512,0.74510888
q__bogz1fl712051000q_fed_rrp__lag004,0.996865,0.492892,0.254091,0.74464133
d__dgs5_dgs5__lag029,0.805643,0.466585,0.457373,0.74437942
d__dgs5_dgs5__lag004,0.805643,0.449147,0.47339,0.74323572
m__ipfinal_ipfinal__lag001,1.0,0.370011,0.372693,0.74270463
d__dgs5_dgs5__lag009,0.805643,0.449685,0.471946,0.74250511
d__dgs5_dgs5__lag022,0.805643,0.464738,0.45673,0.74237364
d__dgs5_dgs5__lag033,0.805643,0.466297,0.455116,0.74232958
d__dgs5_dgs5__lag008,0.805643,0.45346,0.467938,0.74231783
d__dgs5_dgs5__lag011,0.805643,0.454988,0.466372,0.74228755
q__bogz1fl313024000q_tres_oper_cash__lag001,1.0,0.557432,0.184335,0.74176712
d__dgs5_dgs5__lag028,0.805643,0.463893,0.456485,0.74149582
d__dgs5_dgs5__lag001,0.805643,0.447549,0.472312,0.74107855
d__dgs5_dgs5__lag010,0.805643,0.454409,0.465431,0.74106201
d__dgs5_dgs5__lag003,0.805643,0.449795,0.469925,0.7409655
d__dgs5_dgs5__lag017,0.805643,0.463009,0.456448,0.74075414
d__dgs5_dgs5__lag006,0.805643,0.451437,0.467597,0.74041306
d__dgs5_dgs5__lag019,0.805643,0.464883,0.454147,0.74040967
d__dgs5_dgs5__lag020,0.805643,0.462715,0.455195,0.7395072
d__dgs5_dgs5__lag032,0.805643,0.463827,0.453792,0.73927302
d__dgs5_dgs5__lag007,0.805643,0.452253,0.463922,0.73811005
q__fgdef_fgdef__lag001,0.990596,0.527931,0.217035,0.73795997
d__dgs5_dgs5__lag012,0.805643,0.452082,0.463681,0.73777748
d__dgs5_dgs5__lag015,0.805643,0.46225,0.453337,0.73763579
m__psavert_psavert__lag002,0.84326,0.48192,0.392446,0.73731867
d__dgs3_dgs3__lag002,0.805643,0.458418,0.455284,0.73611716
d__dgs5_dgs5__lag030,0.805643,0.463112,0.450152,0.73576427
d__dgs5_dgs5__lag034,0.805643,0.467787,0.445361,0.7356709
d__dgs5_dgs5__lag036,0.805643,0.466634,0.446196,0.73541461
d__dgs3_dgs3__lag016,0.805643,0.46515,0.447146,0.73498403
