job_id,candidate_outcome,avg_abs_z,min_p_value,tested_horizons,control_branch
baseline_tdc_lp_private_assets,BAMLH0A0HYM2,0.234608,0.697087,"0,1",baseline_core
baseline_tdc_lp_private_assets,high_yield_oas,0.234608,0.697087,"0,1",baseline_core
baseline_tdc_lp_private_assets,baa_aaa,0.307495,0.743377,"0,1",baseline_core
baseline_tdc_lp_private_assets,CPILFESL,0.371191,0.555656,"0,1",baseline_core
baseline_tdc_lp_private_assets,BAMLC0A0CM,0.532308,0.492923,"0,1",baseline_core
baseline_tdc_lp_private_assets,investment_grade_oas,0.532308,0.492923,"0,1",baseline_core
baseline_tdc_lp_private_assets,BAA,0.576948,0.397009,"0,1",baseline_core
baseline_tdc_lp_private_assets,AAA,0.602762,0.502671,"0,1",baseline_core
baseline_tdc_lp_private_assets,PCEPILFE,0.81417,0.379827,"0,1",baseline_core
baseline_tdc_lp_private_assets,core_cpi_inflation_qoq_ann,0.848019,0.341307,"0,1",baseline_core
baseline_tdc_lp_private_assets,CPIAUCSL,0.881641,0.231504,"0,1",baseline_core
baseline_tdc_lp_private_assets,WALCL,1.251743,0.070992,"0,1",baseline_core
