feature_id,coverage_share,abs_corr_treatment,abs_corr_outcome_max,screen_score
m__ipfinal_ipfinal__lag009,1.0,0.475268,0.378559,0.85382784
m__ipcongd_ipcongd__lag009,1.0,0.453125,0.393477,0.846602
m__unrate_unrate__lag001,0.981191,0.372287,0.471021,0.82744684
m__ipcongd_ipcongd__lag008,1.0,0.418043,0.403583,0.82162585
q__psave_psave__lag002,0.987461,0.593486,0.237518,0.8205845
q__bogz1fl713123030q_tga__lag002,1.0,0.516068,0.29425,0.81031749
q__bogz1fl713123030q_tga_z1__lag002,1.0,0.516068,0.29425,0.81031749
m__psavert_psavert__lag008,0.836991,0.687234,0.274443,0.80491454
q__bogz1fl313024000q_tres_oper_cash__lag002,1.0,0.55783,0.245377,0.80320687
m__ipfinal_ipfinal__lag008,1.0,0.44091,0.35688,0.79779079
m__unrate_unrate__lag002,0.981191,0.375237,0.436138,0.7961142
m__ipfinal_ipfinal__lag002,1.0,0.399875,0.392782,0.79265676
m__awotman_awotman__lag009,0.874608,0.339835,0.56642,0.7926175
m__ipcongd_ipcongd__lag002,1.0,0.335747,0.455698,0.79144574
m__ipcongd_ipcongd__lag003,1.0,0.338594,0.445355,0.78394892
m__ipfinal_ipfinal__lag003,1.0,0.398654,0.38481,0.78346455
m__ipfinal_ipfinal__lag001,1.0,0.370011,0.407483,0.77749447
q__bogz1fl673061103q_abs_issuers_ts__lag004,0.996865,0.178355,0.596867,0.7727916
q__bogz1fl713123030q_tga__lag001,1.0,0.505979,0.264564,0.7705434
q__bogz1fl713123030q_tga_z1__lag001,1.0,0.505979,0.264564,0.7705434
m__unrate_unrate__lag003,0.981191,0.391979,0.39297,0.77018494
m__ipdcongd_ipdcongd__lag009,0.987461,0.394443,0.384919,0.76959002
m__awotman_awotman__lag001,0.880878,0.135037,0.736843,0.76801976
m__ipcongd_ipcongd__lag004,1.0,0.32603,0.440984,0.76701465
m__ipcongd_ipcongd__lag005,1.0,0.337486,0.428514,0.76599981
m__ipfinal_ipfinal__lag004,1.0,0.388292,0.376498,0.76479058
q__bogz1fl673061103q_abs_issuers_ts__lag005,0.99373,0.198905,0.570277,0.76435953
m__ipcongd_ipcongd__lag001,1.0,0.292344,0.471075,0.76341948
m__awotman_awotman__lag008,0.874608,0.282476,0.589852,0.7629457
m__ipcongd_ipcongd__lag007,1.0,0.346819,0.415313,0.76213209
m__unrate_unrate__lag004,0.978056,0.400449,0.37876,0.76211047
m__ipcongd_ipcongd__lag010,1.0,0.371556,0.390532,0.76208802
m__awotman_awotman__lag003,0.880878,0.177218,0.687308,0.76154188
m__awotman_awotman__lag005,0.877743,0.216733,0.648963,0.75985865
m__awotman_awotman__lag012,0.871473,0.332613,0.537133,0.7579612
m__awotman_awotman__lag006,0.877743,0.23403,0.62947,0.75793099
q__psave_psave__lag001,0.990596,0.563715,0.200475,0.7570035
q__bogz1fl313024000q_tres_oper_cash__lag001,1.0,0.557432,0.199124,0.75655587
q__tgdef_net_gov_sav__lag002,0.987461,0.557179,0.206169,0.75377693
m__ipcongd_ipcongd__lag006,1.0,0.331577,0.418755,0.75033193
m__ipfinal_ipfinal__lag012,1.0,0.329112,0.420563,0.74967479
m__psavert_psavert__lag004,0.840125,0.618626,0.271121,0.74749855
m__awotman_awotman__lag002,0.880878,0.132662,0.713176,0.74507977
m__ipfinal_ipfinal__lag010,1.0,0.342297,0.402613,0.74490977
m__psavert_psavert__lag005,0.840125,0.557437,0.329119,0.74481764
m__ipfinal_ipfinal__lag005,1.0,0.37838,0.364682,0.74306175
m__unrate_unrate__lag005,0.978056,0.409397,0.348433,0.74120024
q__fgdef_fgdef__lag002,0.987461,0.514819,0.23512,0.74053562
m__ipdcongd_ipdcongd__lag008,0.987461,0.349504,0.400248,0.7403503
m__ipcongd_ipcongd__lag012,1.0,0.36493,0.373823,0.73875271
q__bogz1fl673061103q_abs_issuers_ts__lag003,1.0,0.139586,0.598465,0.73805097
q__tgdef_net_gov_sav__lag001,0.990596,0.579238,0.164459,0.73670262
m__awotman_awotman__lag004,0.877743,0.160632,0.673735,0.73235912
m__awotman_awotman__lag007,0.874608,0.229729,0.604963,0.73002831
