regime_id,allowed_use,regime_label,pass_through_point,pass_through_lower95,pass_through_upper95,estimator_id,source_artifact_path,source_artifact_sha256,source_row_key,data_coverage_start,data_coverage_end,estimation_sample_start,estimation_sample_end,n_complete_cases,sample_start,sample_end,sample_window,trigger_rule_id,trigger_rule_text,trigger_validation_status,out_of_sample_validation_status,false_positive_control_status,stability_status,recommended_ratewall_use,scenario_default_allowed,runtime_selector_allowed,exact_blocker,next_ratewall_action,forbidden_claims,claim_boundary,runtime_selector_blocker
high_liquidity_event,tdc_deposit_pass_through_assumption_mode,High liquidity event,0.38586509440810274,0.15820884087647233,0.6135213479397331,sample_split_reserve_change_abs_q75,data/bundles/designs/tdc_tier2_mmf_rrp_canonical_full_panel__quarterly_bundle.csv,f69f00fd9f2b36537b4b9c1e1167f94d0cf797082d2c9abb1fbc6ad53bb76d8d,high_liquidity_event::sample_split_reserve_change_abs_q75::h0::2008Q4_to_2025Q3,2008Q4,2025Q3,2008Q4,2025Q3,24,2008Q4,2025Q3,2008Q4_to_2025Q3,reserve_change_abs_q75,abs(reserve balance qoq change) above current-sample q75,review_only_source_bound_trigger,blocked_no_oos_improvement,blocked_not_promotion_grade,scenario_stable_enough,assumption_mode_scenario_allowed,false,false,,import_as_assumption_mode_scenario; keep runtime selector disabled,no_denominator_calibration;no_holder_allocation;no_incidence;no_welfare;no_pricing;no_causal_financialization,source-bound pass-through scenario evidence only; not causal deposit creation and not runtime regime selection,runtime selector blocked: out-of-sample and false-positive controls are not promotion-grade
high_tdc_scale,tdc_deposit_pass_through_assumption_mode,High TDC scale,0.5349994332011967,-0.25188702887081693,1.3218858952732102,sample_split_high_tdc_abs_q75,data/bundles/designs/tdc_tier2_mmf_rrp_canonical_full_panel__quarterly_bundle.csv,f69f00fd9f2b36537b4b9c1e1167f94d0cf797082d2c9abb1fbc6ad53bb76d8d,high_tdc_scale::sample_split_high_tdc_abs_q75::h0::2008Q4_to_2025Q3,2008Q4,2025Q3,2008Q4,2025Q3,24,2008Q4,2025Q3,2008Q4_to_2025Q3,high_tdc_abs_q75,abs(TDC) above current-sample q75,review_only_source_bound_trigger,blocked_no_oos_improvement,blocked_not_promotion_grade,review_only_wide_or_missing_ci,review_only,false,false,blocked_wide_or_missing_confidence_interval,review_only; do_not_import_as_runtime_selector,no_denominator_calibration;no_holder_allocation;no_incidence;no_welfare;no_pricing;no_causal_financialization,source-bound pass-through scenario evidence only; not causal deposit creation and not runtime regime selection,runtime selector blocked: out-of-sample and false-positive controls are not promotion-grade
latest_rolling_persistence,tdc_deposit_pass_through_assumption_mode,Latest rolling persistence,0.5307509589554447,0.1463728115316717,0.9151291063792176,rolling_48q_selected_credit_rate_lags,output/models/tier2_rolling_selected_credit_rate_pass_through_estimates.csv,aac2c28e1ac1547f5ee2fffc8cd063f0ea8b8e36de5b3588dfba6589a18ff8d0,rolling::matched_total_deposits::2014Q3_2026Q2,2014Q3,2026Q2,2014Q3,2026Q2,46,2014Q3,2026Q2,2014Q3_to_2026Q2,latest_rolling_persistence_window,latest available 48-quarter rolling selected-lag beta,review_only_source_bound_trigger,blocked_no_oos_improvement,blocked_not_promotion_grade,scenario_stable_enough,assumption_mode_scenario_allowed,false,false,,import_as_assumption_mode_scenario; keep runtime selector disabled,no_denominator_calibration;no_holder_allocation;no_incidence;no_welfare;no_pricing;no_causal_financialization,source-bound pass-through scenario evidence only; not causal deposit creation and not runtime regime selection,runtime selector blocked: out-of-sample and false-positive controls are not promotion-grade
low_rate_liquidity_state,tdc_deposit_pass_through_assumption_mode,Low short-rate liquidity state,0.3199260352703432,0.037978701740558285,0.6018733688001281,sample_split_low_short_rate_q25,data/bundles/designs/tdc_tier2_mmf_rrp_canonical_full_panel__quarterly_bundle.csv,f69f00fd9f2b36537b4b9c1e1167f94d0cf797082d2c9abb1fbc6ad53bb76d8d,low_rate_liquidity_state::sample_split_low_short_rate_q25::h0::2003Q4_to_2022Q2,2003Q4,2022Q2,2003Q4,2022Q2,47,2003Q4,2022Q2,2003Q4_to_2022Q2,low_short_rate_q25,fed funds below current-sample q25,review_only_source_bound_trigger,blocked_no_oos_improvement,blocked_not_promotion_grade,scenario_stable_enough,assumption_mode_scenario_allowed,false,false,,import_as_assumption_mode_scenario; keep runtime selector disabled,no_denominator_calibration;no_holder_allocation;no_incidence;no_welfare;no_pricing;no_causal_financialization,source-bound pass-through scenario evidence only; not causal deposit creation and not runtime regime selection,runtime selector blocked: out-of-sample and false-positive controls are not promotion-grade
normal_forward,tdc_deposit_pass_through_assumption_mode,Normal forward / non-pandemic baseline,0.34201759129420367,0.11550407481239519,0.5685311077760121,selected_credit_rate_lags_exclude_2020_2021,data/bundles/designs/tdc_tier2_mmf_rrp_canonical_full_panel__quarterly_bundle.csv,f69f00fd9f2b36537b4b9c1e1167f94d0cf797082d2c9abb1fbc6ad53bb76d8d,normal_forward::selected_credit_rate_lags_exclude_2020_2021::h0::2002Q1_to_2025Q4,1945Q4,2026Q2,2002Q1,2025Q4,88,2002Q1,2025Q4,2002Q1_to_2025Q4,normal_forward_nonpandemic_baseline,quarters outside 2020Q1-2021Q4; scenario baseline only,review_only_source_bound_trigger,review_only_oos_improves_not_runtime_grade,blocked_not_promotion_grade,scenario_stable_enough,assumption_mode_scenario_allowed,true,false,,import_as_assumption_mode_scenario; keep runtime selector disabled,no_denominator_calibration;no_holder_allocation;no_incidence;no_welfare;no_pricing;no_causal_financialization,source-bound pass-through scenario evidence only; not causal deposit creation and not runtime regime selection,runtime selector blocked: out-of-sample and false-positive controls are not promotion-grade
on_rrp_mmf_absorption_state,tdc_deposit_pass_through_assumption_mode,ON RRP / MMF absorption state,,,,sample_split_on_rrp_flow_abs_q75,data/bundles/designs/tdc_tier2_mmf_rrp_canonical_full_panel__quarterly_bundle.csv,f69f00fd9f2b36537b4b9c1e1167f94d0cf797082d2c9abb1fbc6ad53bb76d8d,,2014Q1,2025Q4,,,,,,,on_rrp_flow_abs_q75,abs(ON RRP qoq change) above current-sample q75,blocked_trigger_not_admitted,review_only_oos_improves_not_runtime_grade,blocked_not_promotion_grade,review_only_wide_or_missing_ci,review_only,false,false,blocked_not_source_backed_or_not_estimable,review_only; do_not_import_as_runtime_selector,no_denominator_calibration;no_holder_allocation;no_incidence;no_welfare;no_pricing;no_causal_financialization,source-bound pass-through scenario evidence only; not causal deposit creation and not runtime regime selection,runtime selector blocked: out-of-sample and false-positive controls are not promotion-grade
pandemic_exclusion_drop_2020,tdc_deposit_pass_through_assumption_mode,Latest rolling excluding 2020,0.2478871263682468,-0.03237581711065765,0.5281500698471513,rolling_48q_drop_2020,output/reports/tier2_pass_through_rolling_minus_pandemic_betas.csv,99d53434e43d535001528b27bfc8d193e6d8e7440625620aa49e05efe1f82879,pandemic_exclusion_drop_2020::2014Q3_2026Q2::drop_2020,2014Q3,2026Q2,2014Q3,2026Q2,42,2014Q3,2026Q2,2014Q3_to_2026Q2,pandemic_exclusion_drop_2020,latest 48-quarter rolling beta excluding 2020,review_only_source_bound_trigger,blocked_insufficient_oos_observations,blocked_not_promotion_grade,scenario_stable_enough,assumption_mode_scenario_allowed,false,false,,import_as_assumption_mode_scenario; keep runtime selector disabled,no_denominator_calibration;no_holder_allocation;no_incidence;no_welfare;no_pricing;no_causal_financialization,source-bound pass-through scenario evidence only; not causal deposit creation and not runtime regime selection,runtime selector blocked: out-of-sample and false-positive controls are not promotion-grade
pandemic_exclusion_drop_2020q1_2021q4,tdc_deposit_pass_through_assumption_mode,Latest rolling excluding 2020Q1-2021Q4,0.4462798011574685,0.029884960377252245,0.8626746419376847,rolling_48q_drop_2020_2021,output/reports/tier2_pass_through_rolling_minus_pandemic_betas.csv,99d53434e43d535001528b27bfc8d193e6d8e7440625620aa49e05efe1f82879,pandemic_exclusion_drop_2020q1_2021q4::2014Q3_2026Q2::drop_2020_2021,2014Q3,2026Q2,2014Q3,2026Q2,38,2014Q3,2026Q2,2014Q3_to_2026Q2,pandemic_exclusion_drop_2020q1_2021q4,latest 48-quarter rolling beta excluding 2020Q1-2021Q4,review_only_source_bound_trigger,blocked_insufficient_oos_observations,blocked_not_promotion_grade,scenario_stable_enough,assumption_mode_scenario_allowed,false,false,,import_as_assumption_mode_scenario; keep runtime selector disabled,no_denominator_calibration;no_holder_allocation;no_incidence;no_welfare;no_pricing;no_causal_financialization,source-bound pass-through scenario evidence only; not causal deposit creation and not runtime regime selection,runtime selector blocked: out-of-sample and false-positive controls are not promotion-grade
pandemic_exclusion_drop_2021,tdc_deposit_pass_through_assumption_mode,Latest rolling excluding 2021,0.7431033707535825,0.11803819417880024,1.3681685473283647,rolling_48q_drop_2021,output/reports/tier2_pass_through_rolling_minus_pandemic_betas.csv,99d53434e43d535001528b27bfc8d193e6d8e7440625620aa49e05efe1f82879,pandemic_exclusion_drop_2021::2014Q3_2026Q2::drop_2021,2014Q3,2026Q2,2014Q3,2026Q2,42,2014Q3,2026Q2,2014Q3_to_2026Q2,pandemic_exclusion_drop_2021,latest 48-quarter rolling beta excluding 2021,review_only_source_bound_trigger,blocked_insufficient_oos_observations,blocked_not_promotion_grade,scenario_stable_enough,assumption_mode_scenario_allowed,false,false,,import_as_assumption_mode_scenario; keep runtime selector disabled,no_denominator_calibration;no_holder_allocation;no_incidence;no_welfare;no_pricing;no_causal_financialization,source-bound pass-through scenario evidence only; not causal deposit creation and not runtime regime selection,runtime selector blocked: out-of-sample and false-positive controls are not promotion-grade
pandemic_fiscal_transfer_block,tdc_deposit_pass_through_assumption_mode,Pandemic fiscal-transfer block,,,,sample_split_pandemic_fiscal_transfer_block,data/bundles/designs/tdc_tier2_mmf_rrp_canonical_full_panel__quarterly_bundle.csv,f69f00fd9f2b36537b4b9c1e1167f94d0cf797082d2c9abb1fbc6ad53bb76d8d,,2020Q1,2021Q4,,,,,,,pandemic_fiscal_transfer_block,quarter in 2020Q1-2021Q4,blocked_trigger_not_admitted,review_only_oos_improves_not_runtime_grade,blocked_not_promotion_grade,review_only_wide_or_missing_ci,review_only,false,false,blocked_not_source_backed_or_not_estimable,review_only; do_not_import_as_runtime_selector,no_denominator_calibration;no_holder_allocation;no_incidence;no_welfare;no_pricing;no_causal_financialization,source-bound pass-through scenario evidence only; not causal deposit creation and not runtime regime selection,runtime selector blocked: out-of-sample and false-positive controls are not promotion-grade
