job_id,k_screened,factor_id,rank,feature_id,loading,explained_eigenvalue
baseline_tdc_lp_private_assets,100,dflmx_k100_f4,11,m__psavert_psavert__lag005,0.009732,3.481626
baseline_tdc_lp_private_assets,100,dflmx_k100_f4,12,m__psavert_psavert__lag004,0.009687,3.481626
baseline_tdc_lp_private_assets,200,dflmx_k200_f1,1,q__fgexpnd_fgexpnd__lag001,0.005082,114.30321
baseline_tdc_lp_private_assets,200,dflmx_k200_f1,2,q__na000283q_gov_current_exp__lag001,0.005082,114.30321
baseline_tdc_lp_private_assets,200,dflmx_k200_f1,3,q__fgexpnd_fgexpnd__lag002,0.005079,114.30321
baseline_tdc_lp_private_assets,200,dflmx_k200_f1,4,q__na000283q_gov_current_exp__lag002,0.005079,114.30321
baseline_tdc_lp_private_assets,200,dflmx_k200_f1,5,q__bogz1fl543061175q_life_insurance_ts__lag002,0.004923,114.30321
baseline_tdc_lp_private_assets,200,dflmx_k200_f1,6,q__bogz1fl543061175q_life_insurance_ts__lag003,0.004921,114.30321
baseline_tdc_lp_private_assets,200,dflmx_k200_f1,7,q__bogz1fl702050005q_usb_ffrrp__lag005,0.004919,114.30321
baseline_tdc_lp_private_assets,200,dflmx_k200_f1,8,q__bogz1fl702050005q_usb_ffrrp__lag006,0.004919,114.30321
baseline_tdc_lp_private_assets,200,dflmx_k200_f1,9,q__bogz1fl543061175q_life_insurance_ts__lag001,0.004918,114.30321
baseline_tdc_lp_private_assets,200,dflmx_k200_f1,10,q__bogz1fl702050005q_usb_ffrrp__lag004,0.004918,114.30321
baseline_tdc_lp_private_assets,200,dflmx_k200_f1,11,q__bogz1fl702050005q_usb_ffrrp__lag007,0.004913,114.30321
baseline_tdc_lp_private_assets,200,dflmx_k200_f1,12,q__bogz1fl702050005q_usb_ffrrp__lag003,0.004906,114.30321
baseline_tdc_lp_private_assets,200,dflmx_k200_f2,1,d__dgs5_dgs5__lag023,0.006536,27.23982
baseline_tdc_lp_private_assets,200,dflmx_k200_f2,2,d__dgs5_dgs5__lag020,0.006527,27.23982
baseline_tdc_lp_private_assets,200,dflmx_k200_f2,3,d__dgs5_dgs5__lag017,0.006527,27.23982
baseline_tdc_lp_private_assets,200,dflmx_k200_f2,4,d__dgs5_dgs5__lag015,0.006526,27.23982
baseline_tdc_lp_private_assets,200,dflmx_k200_f2,5,d__dgs5_dgs5__lag018,0.006523,27.23982
baseline_tdc_lp_private_assets,200,dflmx_k200_f2,6,d__dgs5_dgs5__lag019,0.006521,27.23982
baseline_tdc_lp_private_assets,200,dflmx_k200_f2,7,d__dgs5_dgs5__lag021,0.00652,27.23982
baseline_tdc_lp_private_assets,200,dflmx_k200_f2,8,d__dgs5_dgs5__lag016,0.006512,27.23982
baseline_tdc_lp_private_assets,200,dflmx_k200_f2,9,d__dgs5_dgs5__lag022,0.006512,27.23982
baseline_tdc_lp_private_assets,200,dflmx_k200_f2,10,d__dgs5_dgs5__lag024,0.006508,27.23982
baseline_tdc_lp_private_assets,200,dflmx_k200_f2,11,d__dgs5_dgs5__lag025,0.006499,27.23982
baseline_tdc_lp_private_assets,200,dflmx_k200_f2,12,d__dgs5_dgs5__lag027,0.006497,27.23982
baseline_tdc_lp_private_assets,200,dflmx_k200_f3,1,m__psavert_psavert__lag009,-0.007636,20.793804
baseline_tdc_lp_private_assets,200,dflmx_k200_f3,2,m__psavert_psavert__lag006,-0.007306,20.793804
baseline_tdc_lp_private_assets,200,dflmx_k200_f3,3,q__bogz1fl713123030q_tga__lag002,-0.007093,20.793804
baseline_tdc_lp_private_assets,200,dflmx_k200_f3,4,q__bogz1fl713123030q_tga_z1__lag002,-0.007093,20.793804
baseline_tdc_lp_private_assets,200,dflmx_k200_f3,5,m__psavert_psavert__lag007,-0.007043,20.793804
baseline_tdc_lp_private_assets,200,dflmx_k200_f3,6,m__psavert_psavert__lag008,-0.006929,20.793804
baseline_tdc_lp_private_assets,200,dflmx_k200_f3,7,m__psavert_psavert__lag004,-0.006867,20.793804
baseline_tdc_lp_private_assets,200,dflmx_k200_f3,8,q__bogz1fl713123030q_tga__lag003,-0.006779,20.793804
baseline_tdc_lp_private_assets,200,dflmx_k200_f3,9,q__bogz1fl713123030q_tga_z1__lag003,-0.006779,20.793804
baseline_tdc_lp_private_assets,200,dflmx_k200_f3,10,q__bogz1fl313024000q_tres_oper_cash__lag002,-0.006731,20.793804
baseline_tdc_lp_private_assets,200,dflmx_k200_f3,11,q__bogz1fl713123030q_tga__lag001,-0.006666,20.793804
baseline_tdc_lp_private_assets,200,dflmx_k200_f3,12,q__bogz1fl713123030q_tga_z1__lag001,-0.006666,20.793804
baseline_tdc_lp_private_assets,200,dflmx_k200_f4,1,m__unrate_unrate__lag006,0.013953,11.203069
baseline_tdc_lp_private_assets,200,dflmx_k200_f4,2,m__unrate_unrate__lag005,0.013725,11.203069
baseline_tdc_lp_private_assets,200,dflmx_k200_f4,3,m__unrate_unrate__lag004,0.013678,11.203069
baseline_tdc_lp_private_assets,200,dflmx_k200_f4,4,m__unrate_unrate__lag003,0.013352,11.203069
baseline_tdc_lp_private_assets,200,dflmx_k200_f4,5,m__unrate_unrate__lag007,0.013233,11.203069
baseline_tdc_lp_private_assets,200,dflmx_k200_f4,6,m__unrate_unrate__lag002,0.013104,11.203069
baseline_tdc_lp_private_assets,200,dflmx_k200_f4,7,m__unrate_unrate__lag008,0.013079,11.203069
baseline_tdc_lp_private_assets,200,dflmx_k200_f4,8,m__unrate_unrate__lag001,0.013028,11.203069
baseline_tdc_lp_private_assets,200,dflmx_k200_f4,9,m__unrate_unrate__lag009,0.01302,11.203069
baseline_tdc_lp_private_assets,200,dflmx_k200_f4,10,q__bogz1lm903061103q_instrument_discrepancies_ts__lag001,-0.01115,11.203069
baseline_tdc_lp_private_assets,200,dflmx_k200_f4,11,q__bogz1lm903061103q_instrument_discrepancies_ts__lag002,-0.010918,11.203069
baseline_tdc_lp_private_assets,200,dflmx_k200_f4,12,q__bogz1fa713061103q_cb_tsy_tx__lag002,0.009668,11.203069
baseline_tdc_lp_private_assets,300,dflmx_k300_f1,1,d__dgs5_dgs5__lag036,-0.003823,178.987865
baseline_tdc_lp_private_assets,300,dflmx_k300_f1,2,d__dgs5_dgs5__lag038,-0.003823,178.987865
baseline_tdc_lp_private_assets,300,dflmx_k300_f1,3,d__dgs5_dgs5__lag037,-0.003823,178.987865
baseline_tdc_lp_private_assets,300,dflmx_k300_f1,4,d__dgs5_dgs5__lag044,-0.003821,178.987865
baseline_tdc_lp_private_assets,300,dflmx_k300_f1,5,d__dgs5_dgs5__lag039,-0.003821,178.987865
baseline_tdc_lp_private_assets,300,dflmx_k300_f1,6,d__dgs5_dgs5__lag046,-0.003821,178.987865
