feature_id,coverage_share,abs_corr_treatment,abs_corr_outcome_max,screen_score
m__ipfinal_ipfinal__lag009,1.0,0.475268,0.634141,1.10940981
m__ipcongd_ipcongd__lag009,1.0,0.453125,0.651975,1.10509971
m__ipfinal_ipfinal__lag008,1.0,0.44091,0.634687,1.07559785
m__ipcongd_ipcongd__lag008,1.0,0.418043,0.653804,1.07184721
m__ipfinal_ipfinal__lag002,1.0,0.399875,0.63684,1.03671441
m__psavert_psavert__lag008,0.836991,0.687234,0.549532,1.03516165
m__ipfinal_ipfinal__lag003,1.0,0.398654,0.634941,1.0335955
m__ipcongd_ipcongd__lag010,1.0,0.371556,0.652452,1.02400832
m__ipfinal_ipfinal__lag004,1.0,0.388292,0.634937,1.02322954
m__ipcongd_ipcongd__lag012,1.0,0.36493,0.652792,1.01772228
m__ipncongd_ipncongd__lag009,0.987461,0.327007,0.700937,1.01505436
m__ipfinal_ipfinal__lag005,1.0,0.37838,0.632884,1.01126397
m__ipfinal_ipfinal__lag007,1.0,0.37527,0.635083,1.01035325
m__ipfinal_ipfinal__lag001,1.0,0.370011,0.632328,1.0023392
m__ipcongd_ipcongd__lag007,1.0,0.346819,0.655357,1.00217608
m__ipfinal_ipfinal__lag006,1.0,0.36763,0.630796,0.99842588
m__ipcongd_ipcongd__lag002,1.0,0.335747,0.661877,0.99762433
m__ipcongd_ipcongd__lag003,1.0,0.338594,0.658772,0.99736579
m__ipcongd_ipcongd__lag005,1.0,0.337486,0.654444,0.99192976
m__ipncongd_ipncongd__lag008,0.987461,0.305691,0.697189,0.99030521
m__fedfunds_fed_funds__lag001,0.899687,0.386471,0.712402,0.98864129
m__ipcongd_ipcongd__lag004,1.0,0.32603,0.657335,0.98336526
m__ipcongd_ipcongd__lag006,1.0,0.331577,0.651382,0.98295978
m__ipcongd_ipcongd__lag011,1.0,0.327196,0.653635,0.98083087
m__psavert_psavert__lag009,0.836991,0.648989,0.522429,0.98046597
m__ipncongd_ipncongd__lag006,0.990596,0.289167,0.699293,0.97916402
m__ipfinal_ipfinal__lag010,1.0,0.342297,0.634695,0.97699185
m__ipncongd_ipncongd__lag010,0.984326,0.288834,0.701361,0.97467504
m__ipncongd_ipncongd__lag003,0.99373,0.282743,0.695923,0.97252939
m__ipncongd_ipncongd__lag002,0.99373,0.279728,0.695857,0.96946815
m__ipncongd_ipncongd__lag005,0.990596,0.279978,0.695969,0.96676943
m__ipfinal_ipfinal__lag012,1.0,0.329112,0.63634,0.9654517
m__ipncongd_ipncongd__lag007,0.987461,0.276478,0.700305,0.96453448
m__ipncongd_ipncongd__lag012,0.984326,0.270533,0.705191,0.96043073
m__fedfunds_fed_funds__lag002,0.899687,0.377927,0.684835,0.95615289
m__ipncongd_ipncongd__lag004,0.990596,0.269748,0.695176,0.95584972
m__ipcongd_ipcongd__lag001,1.0,0.292344,0.656515,0.9488595
m__fedfunds_fed_funds__lag003,0.899687,0.366826,0.677176,0.93927412
m__ipncongd_ipncongd__lag011,0.984326,0.24783,0.702568,0.93550231
m__psavert_psavert__lag011,0.833856,0.512308,0.607672,0.93390163
m__psavert_psavert__lag004,0.840125,0.618626,0.487483,0.92927018
m__ipfinal_ipfinal__lag011,1.0,0.290155,0.6359,0.92605463
m__ipdcongd_ipdcongd__lag009,0.987461,0.394443,0.541112,0.92382355
m__psavert_psavert__lag007,0.836991,0.572411,0.519137,0.9136157
m__ipncongd_ipncongd__lag001,0.99373,0.227344,0.691746,0.91332713
d__dgs3_dgs3__lag016,0.805643,0.46515,0.668303,0.91315812
d__dgs3_dgs3__lag002,0.805643,0.458418,0.673734,0.91211037
d__dgs1_dgs1__lag003,0.805643,0.430276,0.701626,0.91190862
d__dgs3_dgs3__lag025,0.805643,0.466033,0.665813,0.9118636
d__dgs3_dgs3__lag018,0.805643,0.466278,0.665329,0.91167092
d__dgs1_dgs1__lag002,0.805643,0.430108,0.701175,0.91141024
d__dgs3_dgs3__lag021,0.805643,0.466933,0.664005,0.91113196
d__dgs1_dgs1__lag004,0.805643,0.429427,0.701236,0.91091055
d__dgs3_dgs3__lag026,0.805643,0.463832,0.66607,0.91029718
m__fedfunds_fed_funds__lag004,0.896552,0.348347,0.666857,0.91018332
d__dgs1_dgs1__lag001,0.805643,0.428524,0.700963,0.90996245
d__dgs3_dgs3__lag029,0.805643,0.464884,0.664535,0.90990847
d__dgs1_dgs1__lag005,0.805643,0.428113,0.70117,0.90979879
d__dgs3_dgs3__lag015,0.805643,0.46203,0.666995,0.90959039
d__dgs3_dgs3__lag017,0.805643,0.463242,0.665721,0.9095411
d__dgs1_dgs1__lag006,0.805643,0.427814,0.700788,0.90924995
d__dgs3_dgs3__lag004,0.805643,0.454349,0.674138,0.90915657
d__dgs3_dgs3__lag024,0.805643,0.463381,0.664873,0.90897024
d__dgs3_dgs3__lag020,0.805643,0.463677,0.664535,0.9089358
d__dgs3_dgs3__lag003,0.805643,0.455011,0.673085,0.90884186
d__dgs3_dgs3__lag008,0.805643,0.45818,0.669905,0.9088336
d__dgs3_dgs3__lag005,0.805643,0.454333,0.672982,0.90821296
d__dgs3_dgs3__lag006,0.805643,0.455931,0.671321,0.90816259
d__dgs3_dgs3__lag023,0.805643,0.461158,0.66604,0.90811922
d__dgs3_dgs3__lag027,0.805643,0.462914,0.664153,0.90801301
d__dgs3_dgs3__lag034,0.805643,0.462465,0.664382,0.90783562
d__dgs3_dgs3__lag030,0.805643,0.461426,0.665384,0.90780633
d__dgs3_dgs3__lag019,0.805643,0.463562,0.663181,0.90775247
d__dgs3_dgs3__lag007,0.805643,0.456001,0.670466,0.90752958
d__dgs1_dgs1__lag007,0.805643,0.427644,0.698642,0.90738457
d__dgs3_dgs3__lag028,0.805643,0.462724,0.66355,0.90737417
d__dgs1_dgs1__lag008,0.805643,0.427833,0.698418,0.90735533
d__dgs3_dgs3__lag022,0.805643,0.462909,0.663289,0.9073137
d__dgs3_dgs3__lag011,0.805643,0.458801,0.667182,0.9071403
d__dgs3_dgs3__lag014,0.805643,0.458542,0.666856,0.90666901
d__dgs3_dgs3__lag037,0.805643,0.460806,0.664188,0.90634282
d__dgs5_dgs5__lag034,0.805643,0.467787,0.656984,0.90616275
d__dgs3_dgs3__lag035,0.805643,0.459547,0.665204,0.90614773
d__dgs5_dgs5__lag025,0.805643,0.469591,0.655155,0.90614303
d__dgs3_dgs3__lag001,0.805643,0.45336,0.671341,0.90610716
d__dgs5_dgs5__lag016,0.805643,0.465738,0.658777,0.90595741
d__dgs5_dgs5__lag029,0.805643,0.466585,0.657292,0.90544318
d__dgs3_dgs3__lag013,0.805643,0.45689,0.66658,0.90511458
d__dgs5_dgs5__lag026,0.805643,0.467648,0.65536,0.90474344
d__dgs3_dgs3__lag033,0.805643,0.461083,0.661808,0.9046486
d__dgs5_dgs5__lag018,0.805643,0.467351,0.655121,0.90431092
d__dgs5_dgs5__lag021,0.805643,0.467565,0.654621,0.90408103
d__dgs3_dgs3__lag012,0.805643,0.455283,0.666882,0.90406362
d__dgs3_dgs3__lag010,0.805643,0.458095,0.663866,0.90389992
d__dgs1_dgs1__lag016,0.805643,0.426274,0.695528,0.90377152
d__dgs3_dgs3__lag031,0.805643,0.45888,0.662919,0.90376902
d__dgs3_dgs3__lag009,0.805643,0.455783,0.665867,0.90364941
d__dgs3_dgs3__lag032,0.805643,0.459422,0.662064,0.90351695
d__dgs5_dgs5__lag024,0.805643,0.465713,0.655704,0.9034611
d__dgs5_dgs5__lag037,0.805643,0.468957,0.652251,0.90329306
d__dgs5_dgs5__lag027,0.805643,0.465868,0.655282,0.90324646
d__dgs5_dgs5__lag033,0.805643,0.466297,0.654749,0.90316239
d__dgs5_dgs5__lag030,0.805643,0.463112,0.657797,0.90305258
d__dgs3_dgs3__lag036,0.805643,0.458202,0.662584,0.90295323
d__dgs3_dgs3__lag040,0.805643,0.457172,0.663376,0.90276058
d__dgs5_dgs5__lag035,0.805643,0.464674,0.655795,0.90269749
d__dgs1_dgs1__lag017,0.805643,0.423615,0.696848,0.90269301
d__dgs1_dgs1__lag018,0.805643,0.425113,0.695106,0.9024962
d__dgs1_dgs1__lag009,0.805643,0.425423,0.694769,0.90247436
d__dgs5_dgs5__lag028,0.805643,0.463893,0.656042,0.90226749
d__dgs3_dgs3__lag041,0.805643,0.456648,0.663256,0.90224283
d__dgs1_dgs1__lag010,0.805643,0.426823,0.692993,0.90217109
d__dgs5_dgs5__lag023,0.805643,0.463243,0.65656,0.9021613
d__dgs1_dgs1__lag011,0.805643,0.425717,0.693856,0.90197623
d__dgs1_dgs1__lag025,0.805643,0.42431,0.695133,0.9018708
d__dgs5_dgs5__lag015,0.805643,0.46225,0.65714,0.90182826
d__dgs5_dgs5__lag022,0.805643,0.464738,0.654411,0.90163394
d__dgs5_dgs5__lag002,0.805643,0.45351,0.665531,0.90154763
d__dgs5_dgs5__lag036,0.805643,0.466634,0.652399,0.90154056
d__dgs5_dgs5__lag017,0.805643,0.463009,0.655886,0.90142972
d__dgs3_dgs3__lag039,0.805643,0.457852,0.661005,0.9013989
d__dgs3_dgs3__lag038,0.805643,0.456809,0.661917,0.90129326
d__dgs1_dgs1__lag015,0.805643,0.425387,0.692762,0.90082831
d__dgs3_dgs3__lag042,0.805643,0.456414,0.661628,0.90074197
d__dgs5_dgs5__lag032,0.805643,0.463827,0.654185,0.90071852
d__dgs1_dgs1__lag024,0.805643,0.423616,0.694297,0.90063795
d__dgs5_dgs5__lag019,0.805643,0.464883,0.652974,0.90059385
d__dgs5_dgs5__lag020,0.805643,0.462715,0.654983,0.90046506
d__dgs5_dgs5__lag040,0.805643,0.467142,0.650291,0.90025204
d__dgs1_dgs1__lag026,0.805643,0.421474,0.695676,0.90002357
d__dgs1_dgs1__lag013,0.805643,0.423711,0.693431,0.90001733
d__dgs1_dgs1__lag020,0.805643,0.424784,0.692119,0.89982442
d__dgs1_dgs1__lag014,0.805643,0.423959,0.692935,0.89981727
d__dgs5_dgs5__lag031,0.805643,0.461201,0.655469,0.89963649
d__dgs5_dgs5__lag039,0.805643,0.467462,0.649165,0.89960224
d__dgs1_dgs1__lag012,0.805643,0.422521,0.693484,0.89910104
d__dgs5_dgs5__lag042,0.805643,0.466712,0.649289,0.89909744
d__dgs5_dgs5__lag041,0.805643,0.465748,0.650089,0.89896583
d__dgs5_dgs5__lag005,0.805643,0.450746,0.665049,0.89893188
d__dgs1_dgs1__lag023,0.805643,0.423023,0.692681,0.89885841
d__dgs1_dgs1__lag027,0.805643,0.421863,0.693649,0.89870432
d__dgs5_dgs5__lag004,0.805643,0.449147,0.666241,0.89860426
d__dgs1_dgs1__lag021,0.805643,0.425378,0.690002,0.89859774
d__dgs5_dgs5__lag003,0.805643,0.449795,0.665154,0.89825014
d__dgs5_dgs5__lag006,0.805643,0.451437,0.663032,0.89786393
d__dgs5_dgs5__lag007,0.805643,0.452253,0.662059,0.89773736
d__dgs5_dgs5__lag008,0.805643,0.45346,0.660707,0.89762114
d__dgs1_dgs1__lag019,0.805643,0.42347,0.690679,0.89760599
d__dgs5_dgs5__lag014,0.805643,0.456892,0.656772,0.8972154
d__dgs5_dgs5__lag038,0.805643,0.464451,0.649158,0.89717087
d__dgs1_dgs1__lag028,0.805643,0.421921,0.691447,0.8969766
d__dgs1_dgs1__lag022,0.805643,0.423099,0.690053,0.89680248
d__dgs5_dgs5__lag011,0.805643,0.454988,0.658056,0.89671578
d__dgs1_dgs1__lag029,0.805643,0.421536,0.691423,0.89664709
d__dgs5_dgs5__lag001,0.805643,0.447549,0.663413,0.89503772
d__dgs5_dgs5__lag013,0.805643,0.45432,0.656393,0.89483755
d__dgs5_dgs5__lag043,0.805643,0.46296,0.647195,0.89438818
d__dgs1_dgs1__lag030,0.805643,0.419303,0.690696,0.89426258
d__dgs1_dgs1__lag037,0.805643,0.415807,0.693893,0.89402156
d__dgs5_dgs5__lag012,0.805643,0.452082,0.656712,0.89329141
d__dgs1_dgs1__lag041,0.805643,0.414091,0.694629,0.89323229
d__dgs5_dgs5__lag010,0.805643,0.454409,0.654098,0.89306058
d__dgs3_dgs3__lag043,0.805643,0.453828,0.654572,0.89297413
d__dgs1_dgs1__lag034,0.805643,0.417101,0.691175,0.89287421
d__dgs5_dgs5__lag044,0.805643,0.462273,0.645919,0.89280678
d__dgs3_dgs3__lag044,0.805643,0.453382,0.654619,0.89265275
m__psavert_psavert__lag005,0.840125,0.557437,0.50483,0.89243733
d__dgs1_dgs1__lag035,0.805643,0.41599,0.691481,0.89222615
d__dgs1_dgs1__lag040,0.805643,0.413183,0.693565,0.89164358
d__dgs5_dgs5__lag009,0.805643,0.449685,0.657008,0.89159908
d__dgs1_dgs1__lag036,0.805643,0.414546,0.692047,0.89151838
d__dgs1_dgs1__lag038,0.805643,0.41504,0.691527,0.89149762
d__dgs1_dgs1__lag039,0.805643,0.414649,0.691482,0.89114607
