job_id,candidate_outcome,avg_abs_z,min_p_value,tested_horizons,control_branch
baseline_tdc_lp_liquidity_decomposition,TOTBKCR,0.100612,0.90872,"0,1",recommended_factors
baseline_tdc_lp_liquidity_decomposition,baa_aaa,0.155386,0.801909,"0,1",recommended_factors
baseline_tdc_lp_liquidity_decomposition,PCEPILFE,0.243422,0.742106,"0,1",recommended_factors
baseline_tdc_lp_liquidity_decomposition,BAMLH0A0HYM2,0.267757,0.748397,"0,1",recommended_factors
baseline_tdc_lp_liquidity_decomposition,high_yield_oas,0.267757,0.748397,"0,1",recommended_factors
baseline_tdc_lp_liquidity_decomposition,TASACBW027SBOG,0.274354,0.76235,"0,1",recommended_factors
baseline_tdc_lp_liquidity_decomposition,core_pce_inflation_qoq_ann,0.283845,0.607256,"0,1",recommended_factors
baseline_tdc_lp_liquidity_decomposition,BAMLC0A0CM,0.34024,0.654478,"0,1",recommended_factors
baseline_tdc_lp_liquidity_decomposition,investment_grade_oas,0.34024,0.654478,"0,1",recommended_factors
baseline_tdc_lp_liquidity_decomposition,AAA,0.340843,0.627885,"0,1",recommended_factors
baseline_tdc_lp_liquidity_decomposition,RELACBW027SBOG,0.345342,0.605751,"0,1",recommended_factors
baseline_tdc_lp_liquidity_decomposition,headline_cpi_inflation_qoq_ann,0.360979,0.707226,"0,1",recommended_factors
