job_id,regime_id,rows_in_regime,control_ids_used,dropped_controls,rows_written,warning_rows,weak_instrument_rows,avg_abs_beta,avg_n
tdc_lpiv_deposits_qra_slr_bank_leverage_pressure,exclude_2008_2009,311,GDP;gdp_deflator;FEDFUNDS;TOTRESNS;qra_maturity_tilt_flow;slrwatch_bank_leverage_pressure_l1;dflmx_k200_f1;dflmx_k200_f2;dflmx_k200_f3;dflmx_k200_f4,,10,10,10,0.999964,24.0
tdc_lpiv_deposits_qra_slr_bank_leverage_pressure,exclude_2020,315,GDP;gdp_deflator;FEDFUNDS;TOTRESNS;qra_maturity_tilt_flow;slrwatch_bank_leverage_pressure_l1;dflmx_k200_f1;dflmx_k200_f2;dflmx_k200_f3;dflmx_k200_f4,,10,10,10,0.569489,20.0
tdc_lpiv_deposits_qra_slr_bank_leverage_pressure,coord_low_reserve_state_l1,15,GDP;gdp_deflator;FEDFUNDS;TOTRESNS;qra_maturity_tilt_flow;slrwatch_bank_leverage_pressure_l1;dflmx_k200_f1;dflmx_k200_f2;dflmx_k200_f3;dflmx_k200_f4,,0,0,0,,
tdc_lpiv_deposits_qra_slr_bank_leverage_pressure,coord_on_rrp_drain_state_l1__low,36,GDP;gdp_deflator;FEDFUNDS;TOTRESNS;qra_maturity_tilt_flow;slrwatch_bank_leverage_pressure_l1;dflmx_k200_f1;dflmx_k200_f2;dflmx_k200_f3;dflmx_k200_f4,,8,6,6,1.003957,15.25
tdc_lpiv_deposits_qra_slr_bank_leverage_pressure,coord_on_rrp_drain_state_l1__high,38,GDP;gdp_deflator;FEDFUNDS;TOTRESNS;qra_maturity_tilt_flow;slrwatch_bank_leverage_pressure_l1;dflmx_k200_f1;dflmx_k200_f2;dflmx_k200_f3;dflmx_k200_f4,,0,0,0,,
tdc_lpiv_deposits_qra_slr_bank_leverage_pressure,tsyparty_bank_absorption_share_l1__low,145,GDP;gdp_deflator;FEDFUNDS;TOTRESNS;qra_maturity_tilt_flow;slrwatch_bank_leverage_pressure_l1;dflmx_k200_f1;dflmx_k200_f2;dflmx_k200_f3;dflmx_k200_f4,,0,0,0,,
tdc_lpiv_deposits_qra_slr_bank_leverage_pressure,tsyparty_bank_absorption_share_l1__high,145,GDP;gdp_deflator;FEDFUNDS;TOTRESNS;qra_maturity_tilt_flow;slrwatch_bank_leverage_pressure_l1;dflmx_k200_f1;dflmx_k200_f2;dflmx_k200_f3;dflmx_k200_f4,,6,6,6,0.966713,15.0
tdc_lpiv_deposits_qra_slr_bank_leverage_pressure,tsyparty_bank_foreign_private_corr_l1__low,42,GDP;gdp_deflator;FEDFUNDS;TOTRESNS;qra_maturity_tilt_flow;slrwatch_bank_leverage_pressure_l1;dflmx_k200_f1;dflmx_k200_f2;dflmx_k200_f3;dflmx_k200_f4,,10,10,10,0.743205,21.0
tdc_lpiv_deposits_qra_slr_bank_leverage_pressure,tsyparty_bank_foreign_private_corr_l1__high,42,GDP;gdp_deflator;FEDFUNDS;TOTRESNS;qra_maturity_tilt_flow;slrwatch_bank_leverage_pressure_l1;dflmx_k200_f1;dflmx_k200_f2;dflmx_k200_f3;dflmx_k200_f4,,0,0,0,,
tdc_lpiv_deposits_qra_slr_bank_leverage_pressure,slrwatch_bank_leverage_pressure_l1__low,13,GDP;gdp_deflator;FEDFUNDS;TOTRESNS;qra_maturity_tilt_flow;slrwatch_bank_leverage_pressure_l1;dflmx_k200_f1;dflmx_k200_f2;dflmx_k200_f3;dflmx_k200_f4,,2,2,2,1.090937,13.0
tdc_lpiv_deposits_qra_slr_bank_leverage_pressure,slrwatch_bank_leverage_pressure_l1__high,14,GDP;gdp_deflator;FEDFUNDS;TOTRESNS;qra_maturity_tilt_flow;slrwatch_bank_leverage_pressure_l1;dflmx_k200_f1;dflmx_k200_f2;dflmx_k200_f3;dflmx_k200_f4,,4,4,4,0.682141,13.5
