job_id,k_screened,factor_id,rank,feature_id,loading,explained_eigenvalue
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f4,10,m__unrate_unrate__lag004,-0.010091,6.170164
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f4,11,q__psave_psave__lag002,0.01005,6.170164
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f4,12,m__unrate_unrate__lag003,-0.009966,6.170164
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f1,1,d__dgs5_dgs5__lag044,-0.004824,130.025874
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f1,2,d__dgs5_dgs5__lag043,-0.004824,130.025874
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f1,3,d__dgs5_dgs5__lag038,-0.004823,130.025874
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f1,4,d__dgs5_dgs5__lag037,-0.004823,130.025874
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f1,5,d__dgs5_dgs5__lag039,-0.004823,130.025874
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f1,6,d__dgs5_dgs5__lag036,-0.004823,130.025874
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f1,7,d__dgs5_dgs5__lag046,-0.004823,130.025874
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f1,8,d__dgs5_dgs5__lag041,-0.004822,130.025874
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f1,9,d__dgs5_dgs5__lag040,-0.004822,130.025874
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f1,10,d__dgs5_dgs5__lag047,-0.004822,130.025874
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f1,11,d__dgs5_dgs5__lag032,-0.004821,130.025874
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f1,12,d__dgs5_dgs5__lag031,-0.004821,130.025874
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f2,1,m__ipncongd_ipncongd__lag002,0.008287,35.997778
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f2,2,m__ipncongd_ipncongd__lag003,0.00828,35.997778
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f2,3,m__ipncongd_ipncongd__lag006,0.008239,35.997778
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f2,4,m__ipncongd_ipncongd__lag008,0.008202,35.997778
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f2,5,m__ipncongd_ipncongd__lag009,0.008193,35.997778
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f2,6,m__ipncongd_ipncongd__lag012,0.008137,35.997778
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f2,7,m__ipcongd_ipcongd__lag002,0.00807,35.997778
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f2,8,m__ipcongd_ipcongd__lag001,0.008068,35.997778
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f2,9,m__ipcongd_ipcongd__lag004,0.008067,35.997778
