feature_id,coverage_share,abs_corr_treatment,abs_corr_outcome_max,screen_score
q__psave_psave__lag002,0.987461,0.593486,0.528252,1.10767234
q__tgdef_net_gov_sav__lag002,0.987461,0.557179,0.477266,1.0214743
q__fgdef_fgdef__lag002,0.987461,0.514819,0.479328,0.98168141
q__psave_psave__lag001,0.990596,0.563715,0.410694,0.96524575
q__tgdef_net_gov_sav__lag001,0.990596,0.579238,0.386989,0.95713932
q__bogz1fl713123030q_tga__lag002,1.0,0.516068,0.432652,0.9487198
q__bogz1fl713123030q_tga_z1__lag002,1.0,0.516068,0.432652,0.9487198
q__psave_psave__lag003,0.984326,0.447706,0.508782,0.94149516
q__bogz1fl313024000q_tres_oper_cash__lag002,1.0,0.55783,0.383142,0.94097175
q__bogz1fl313024000q_tres_oper_cash__lag001,1.0,0.557432,0.369851,0.92728341
q__fgdef_fgdef__lag001,0.990596,0.527931,0.39595,0.91519316
m__unrate_unrate__lag006,0.978056,0.443067,0.484338,0.90705408
q__bogz1fl713123030q_tga__lag001,1.0,0.505979,0.394815,0.90079412
q__bogz1fl713123030q_tga_z1__lag001,1.0,0.505979,0.394815,0.90079412
m__ipfinal_ipfinal__lag009,1.0,0.475268,0.420162,0.89543055
m__unrate_unrate__lag009,0.974922,0.518114,0.396125,0.89131163
m__unrate_unrate__lag004,0.978056,0.400449,0.508174,0.88868524
m__unrate_unrate__lag005,0.978056,0.409397,0.497627,0.88711996
q__tgdef_net_gov_sav__lag003,0.984326,0.437201,0.459153,0.88230439
m__unrate_unrate__lag001,0.981191,0.372287,0.518683,0.8742118
m__unrate_unrate__lag003,0.981191,0.391979,0.493282,0.86861008
m__unrate_unrate__lag008,0.974922,0.471015,0.417619,0.86634884
m__unrate_unrate__lag007,0.974922,0.446532,0.441437,0.86569984
m__unrate_unrate__lag002,0.981191,0.375237,0.504651,0.86333903
q__psave_psave__lag004,0.981191,0.379903,0.49827,0.86165577
m__ipfinal_ipfinal__lag008,1.0,0.44091,0.419774,0.86068445
m__ipfinal_ipfinal__lag002,1.0,0.399875,0.448398,0.84827224
m__ipcongd_ipcongd__lag009,1.0,0.453125,0.394903,0.84802764
m__psavert_psavert__lag008,0.836991,0.687234,0.324257,0.84660843
