feature_id,coverage_share,abs_corr_treatment,abs_corr_outcome_max,screen_score
q__bogz1fl313024000q_tres_oper_cash__lag002,1.0,0.55783,0.710285,1.26811514
q__bogz1fl713123030q_tga__lag002,1.0,0.516068,0.738479,1.25454614
q__bogz1fl713123030q_tga_z1__lag002,1.0,0.516068,0.738479,1.25454614
q__bogz1lm403061105q_gses_ts__lag001,1.0,0.365542,0.881651,1.24719363
q__bogz1lm403061105q_gse_tsy__lag001,1.0,0.365542,0.881651,1.24719363
q__bogz1lm403061105q_gses_ts__lag002,1.0,0.352258,0.891192,1.24345084
q__bogz1lm403061105q_gse_tsy__lag002,1.0,0.352258,0.891192,1.24345084
q__bogz1fl313024000q_tres_oper_cash__lag001,1.0,0.557432,0.685647,1.24307877
q__psave_psave__lag002,0.987461,0.593486,0.643729,1.22170164
q__bogz1fl713123030q_tga__lag001,1.0,0.505979,0.713102,1.21908137
q__bogz1fl713123030q_tga_z1__lag001,1.0,0.505979,0.713102,1.21908137
q__tgdef_net_gov_sav__lag001,0.990596,0.579238,0.649652,1.21733233
q__tgdef_net_gov_sav__lag002,0.987461,0.557179,0.673307,1.21505744
q__bogz1lm403061105q_gses_ts__lag003,1.0,0.310289,0.898079,1.20836847
q__bogz1lm403061105q_gse_tsy__lag003,1.0,0.310289,0.898079,1.20836847
q__fgdef_fgdef__lag002,0.987461,0.514819,0.684718,1.18449547
q__fgdef_fgdef__lag001,0.990596,0.527931,0.667073,1.18376574
q__psave_psave__lag001,0.990596,0.563715,0.6097,1.16237982
q__bogz1lm343061113q_fed_gov_dcf_retirement_ts__lag002,1.0,0.212484,0.94251,1.15499469
q__bogz1lm343061113q_fed_gov_dc_retirement_ts__lag002,1.0,0.212484,0.94251,1.15499469
q__bogz1lm343061113q_fed_ret_tsy_dc__lag002,1.0,0.212484,0.94251,1.15499469
m__civpart_civpart__lag001,0.981191,0.221159,0.950827,1.1499425
m__ipncongd_ipncongd__lag009,0.987461,0.327007,0.837508,1.14991362
q__bogz1fl573061143q_private_db_pension_ts__lag003,1.0,0.225883,0.921414,1.14729757
q__bogz1lm343061113q_fed_gov_dcf_retirement_ts__lag001,1.0,0.209165,0.937772,1.14693683
q__bogz1lm343061113q_fed_gov_dc_retirement_ts__lag001,1.0,0.209165,0.937772,1.14693683
q__bogz1lm343061113q_fed_ret_tsy_dc__lag001,1.0,0.209165,0.937772,1.14693683
q__bogz1fl573061143q_private_db_pension_ts__lag002,1.0,0.231306,0.910145,1.14145093
q__na000283q_gov_current_exp__lag001,0.990596,0.267332,0.883117,1.13963001
q__fgexpnd_fgexpnd__lag001,0.990596,0.266681,0.883146,1.1390131
m__civpart_civpart__lag002,0.981191,0.210948,0.942758,1.1320061
q__bogz1fl573061143q_private_db_pension_ts__lag004,0.996865,0.203749,0.929812,1.13000779
q__bogz1lm343061113q_fed_gov_dcf_retirement_ts__lag003,1.0,0.184768,0.943815,1.12858254
q__bogz1lm343061113q_fed_gov_dc_retirement_ts__lag003,1.0,0.184768,0.943815,1.12858254
q__bogz1lm343061113q_fed_ret_tsy_dc__lag003,1.0,0.184768,0.943815,1.12858254
q__bogz1fl573061143q_private_db_pension_ts__lag001,1.0,0.228747,0.897725,1.1264713
q__na000283q_gov_current_exp__lag002,0.987461,0.249462,0.887119,1.1223295
m__ipncongd_ipncongd__lag008,0.987461,0.305691,0.83071,1.12215189
m__civpart_civpart__lag003,0.981191,0.205881,0.937554,1.12192878
m__civpart_civpart__lag004,0.978056,0.197857,0.947994,1.12070661
q__fgexpnd_fgexpnd__lag002,0.987461,0.24787,0.886827,1.12046803
q__bogz1lm403061105q_gses_ts__lag004,0.996865,0.224193,0.897432,1.11810916
q__bogz1lm403061105q_gse_tsy__lag004,0.996865,0.224193,0.897432,1.11810916
q__bogz1lm573061105q_private_pension_ts__lag002,1.0,0.183056,0.932864,1.11591959
q__bogz1lm573061105q_private_pension_ts__lag001,1.0,0.185158,0.928683,1.11384091
q__bogz1lm573061105q_private_pension_ts__lag003,1.0,0.174051,0.935827,1.10987739
q__bogz1fl573061143q_private_db_pension_ts__lag005,0.99373,0.181437,0.935329,1.10976478
m__civpart_civpart__lag006,0.978056,0.19482,0.937539,1.10751021
q__bogz1fl543061175q_life_insurance_ts__lag001,1.0,0.278889,0.823723,1.10261238
m__ipncongd_ipncongd__lag006,0.990596,0.289167,0.822669,1.1013804
m__ipncongd_ipncongd__lag010,0.984326,0.288834,0.828605,1.09992466
m__civpart_civpart__lag005,0.978056,0.183789,0.939684,1.09881966
q__ophnfb_nflabor_productivity__lag001,0.990596,0.181718,0.926861,1.09815334
q__bogz1lm263061110q_row_bills_raw__lag002,1.0,0.227372,0.868701,1.096073
q__bogz1lm263061110q_row_bills__lag002,1.0,0.227372,0.868701,1.096073
q__bogz1lm343061113q_fed_gov_dcf_retirement_ts__lag004,0.996865,0.155871,0.942582,1.09500974
q__bogz1lm343061113q_fed_gov_dc_retirement_ts__lag004,0.996865,0.155871,0.942582,1.09500974
q__bogz1lm343061113q_fed_ret_tsy_dc__lag004,0.996865,0.155871,0.942582,1.09500974
q__bogz1fl633061105q_mmf_tsy_raw__lag001,1.0,0.304627,0.790044,1.09467137
q__bogz1fl633061105q_money_market_funds_ts__lag001,1.0,0.304627,0.790044,1.09467137
m__civpart_civpart__lag007,0.974922,0.178876,0.94372,1.09444263
m__civpart_civpart__lag009,0.974922,0.184894,0.935997,1.09278017
m__ipncongd_ipncongd__lag005,0.990596,0.279978,0.822103,1.09171702
m__ipncongd_ipncongd__lag012,0.984326,0.270533,0.838284,1.09143804
q__bogz1fl543061175q_life_insurance_ts__lag002,1.0,0.260167,0.829334,1.08950091
m__ipncongd_ipncongd__lag007,0.987461,0.276478,0.826357,1.08900627
q__bogz1lm263061105q_row_tsy_raw__lag001,1.0,0.143762,0.944833,1.08859516
q__bogz1lm263061105q_row_tsy__lag001,1.0,0.143762,0.944833,1.08859516
m__ipncongd_ipncongd__lag003,0.99373,0.282743,0.812145,1.08802323
m__ipcongd_ipcongd__lag009,1.0,0.453125,0.634584,1.08770876
m__civpart_civpart__lag008,0.974922,0.177788,0.937425,1.08724516
m__ipncongd_ipncongd__lag002,0.99373,0.279728,0.813244,1.08611877
q__bogz1lm573061105q_private_pension_ts__lag004,0.996865,0.152293,0.936346,1.08522622
q__bogz1fl633061105q_mmf_tsy_raw__lag002,1.0,0.291375,0.791966,1.08334107
q__bogz1fl633061105q_money_market_funds_ts__lag002,1.0,0.291375,0.791966,1.08334107
q__bogz1lm263061105q_row_tsy_raw__lag002,1.0,0.137022,0.94572,1.08274189
q__bogz1lm263061105q_row_tsy__lag002,1.0,0.137022,0.94572,1.08274189
q__bogz1fl263061130q_row_gov_tsy__lag001,1.0,0.205444,0.87636,1.08180464
q__tgdef_net_gov_sav__lag003,0.984326,0.437201,0.661766,1.08174111
q__bogz1lm263061110q_row_bills_raw__lag001,1.0,0.220135,0.860395,1.08053011
q__bogz1lm263061110q_row_bills__lag001,1.0,0.220135,0.860395,1.08053011
q__bogz1fl573061143q_private_db_pension_ts__lag006,0.990596,0.152798,0.93734,1.07988576
q__ophnfb_nflabor_productivity__lag002,0.987461,0.167351,0.925742,1.07938635
q__bogz1fl263061130q_row_gov_tsy__lag002,1.0,0.194654,0.884053,1.07870719
m__mvmtd027mnfrbdal_mv_mkt_debt__lag001,1.0,0.153582,0.924494,1.0780765
m__ipncongd_ipncongd__lag004,0.990596,0.269748,0.81703,1.07655729
q__bogz1fl633061110q_mmf_bills_raw__lag001,1.0,0.344006,0.731196,1.07520171
q__bogz1fl633061110q_mmf_bills__lag001,1.0,0.344006,0.731196,1.07520171
q__bogz1lm263061110q_row_bills_raw__lag003,1.0,0.20249,0.871939,1.07442934
q__bogz1lm263061110q_row_bills__lag003,1.0,0.20249,0.871939,1.07442934
m__mvmtd027mnfrbdal_mv_mkt_debt__lag002,1.0,0.150136,0.923629,1.07376501
q__bogz1lm263061105q_row_tsy_raw__lag003,1.0,0.126361,0.944751,1.07111213
q__bogz1lm263061105q_row_tsy__lag003,1.0,0.126361,0.944751,1.07111213
m__mvmtd027mnfrbdal_mv_mkt_debt__lag003,1.0,0.147548,0.923469,1.0710175
q__psave_psave__lag003,0.984326,0.447706,0.639631,1.07029339
m__mvmtd027mnfrbdal_mv_mkt_debt__lag004,1.0,0.147099,0.923083,1.07018215
q__bogz1fl263061130q_row_gov_tsy__lag003,1.0,0.179118,0.889077,1.0681949
q__fbtsaaq027s_dom_fin_sector_tsy__lag001,1.0,0.164378,0.903565,1.06794339
q__bogz1fl543061175q_life_insurance_ts__lag003,1.0,0.233908,0.832381,1.06628828
m__mvmtd027mnfrbdal_mv_mkt_debt__lag006,1.0,0.141228,0.923068,1.06429604
q__bogz1fl713123030q_tga__lag003,1.0,0.335015,0.728581,1.06359572
q__bogz1fl713123030q_tga_z1__lag003,1.0,0.335015,0.728581,1.06359572
q__bogz1fl633061110q_mmf_bills_raw__lag002,1.0,0.33121,0.732048,1.0632578
q__bogz1fl633061110q_mmf_bills__lag002,1.0,0.33121,0.732048,1.0632578
m__mvmtd027mnfrbdal_mv_mkt_debt__lag005,1.0,0.141101,0.922135,1.06323673
q__bogz1fl313024000q_tres_oper_cash__lag003,1.0,0.361962,0.697592,1.05955333
m__mvmtd027mnfrbdal_mv_mkt_debt__lag007,1.0,0.137137,0.922095,1.059232
q__bogz1fl713061103q_fed_tsy__lag001,1.0,0.144331,0.914769,1.05910025
q__bogz1fl713061103q_fed_tsy_raw__lag001,1.0,0.144331,0.914769,1.05910025
q__bogz1fl713061103q_cb_tsy__lag001,1.0,0.144331,0.914769,1.05910025
m__ipncongd_ipncongd__lag011,0.984326,0.24783,0.8261,1.05709744
q__bogz1lm573061105q_private_pension_ts__lag005,0.99373,0.128886,0.934745,1.05696198
m__mvphgfd027mnfrbdal_mvphgfd027mnfrbdal__lag006,1.0,0.14782,0.907655,1.05547452
m__mvphgfd027mnfrbdal_mv_priv_debt__lag006,1.0,0.14782,0.907655,1.05547452
q__bogz1fl573061143q_private_db_pension_ts__lag007,0.987461,0.131678,0.936936,1.05521477
m__mvphgfd027mnfrbdal_mvphgfd027mnfrbdal__lag007,1.0,0.147171,0.907278,1.0544489
m__mvphgfd027mnfrbdal_mv_priv_debt__lag007,1.0,0.147171,0.907278,1.0544489
q__bogz1fl543061165q_life_insurance_ts__lag001,1.0,0.15583,0.898105,1.05393443
m__mvphgfd027mnfrbdal_mvphgfd027mnfrbdal__lag005,1.0,0.147529,0.904853,1.05238173
m__mvphgfd027mnfrbdal_mv_priv_debt__lag005,1.0,0.147529,0.904853,1.05238173
q__bogz1lm263061105q_row_tsy_raw__lag004,0.996865,0.111878,0.943096,1.05166654
q__bogz1lm263061105q_row_tsy__lag004,0.996865,0.111878,0.943096,1.05166654
m__mvphgfd027mnfrbdal_mvphgfd027mnfrbdal__lag003,1.0,0.146717,0.904485,1.05120159
m__mvphgfd027mnfrbdal_mv_priv_debt__lag003,1.0,0.146717,0.904485,1.05120159
q__bogz1lm663061105q_brokers_dealers_ts__lag004,0.996865,0.188806,0.865621,1.05112143
m__mvphgfd027mnfrbdal_mvphgfd027mnfrbdal__lag004,1.0,0.146877,0.903979,1.05085537
m__mvphgfd027mnfrbdal_mv_priv_debt__lag004,1.0,0.146877,0.903979,1.05085537
q__ophnfb_nflabor_productivity__lag003,0.984326,0.144617,0.922599,1.05048844
q__bogz1fl263061130q_row_gov_tsy__lag004,0.996865,0.160416,0.892288,1.04940415
q__bogz1fl262151003q_row_repo__lag005,0.99373,0.185098,0.869771,1.04825564
m__mvphgfd027mnfrbdal_mvphgfd027mnfrbdal__lag002,1.0,0.144427,0.902265,1.04669201
m__mvphgfd027mnfrbdal_mv_priv_debt__lag002,1.0,0.144427,0.902265,1.04669201
m__mvphgfd027mnfrbdal_mvphgfd027mnfrbdal__lag008,1.0,0.137983,0.907165,1.04514736
m__mvphgfd027mnfrbdal_mv_priv_debt__lag008,1.0,0.137983,0.907165,1.04514736
m__mvmtd027mnfrbdal_mv_mkt_debt__lag008,1.0,0.124928,0.919909,1.04483642
q__bogz1fl543061165q_life_insurance_ts__lag002,1.0,0.147963,0.896716,1.04467841
m__mvphgfd027mnfrbdal_mvphgfd027mnfrbdal__lag010,1.0,0.135256,0.908654,1.04390976
m__mvphgfd027mnfrbdal_mv_priv_debt__lag010,1.0,0.135256,0.908654,1.04390976
m__mvphgfd027mnfrbdal_mvphgfd027mnfrbdal__lag009,1.0,0.134822,0.908823,1.04364486
m__mvphgfd027mnfrbdal_mv_priv_debt__lag009,1.0,0.134822,0.908823,1.04364486
m__ipcongd_ipcongd__lag008,1.0,0.418043,0.625596,1.04363925
m__mvphgfd027mnfrbdal_mvphgfd027mnfrbdal__lag001,1.0,0.140786,0.901722,1.04250858
m__mvphgfd027mnfrbdal_mv_priv_debt__lag001,1.0,0.140786,0.901722,1.04250858
