outcome,horizon,beta,se,lower95,upper95,p_value_normal,n,significance
matched_total_deposits,0,0.4712704370873475,0.19565099863869734,0.08779447975550075,0.8547463944191942,0.016008134386058526,93,
matched_total_deposits,1,0.325789572029946,0.2709810012069628,-0.20533319033570102,0.8569123343955931,0.22926287577152804,92,
matched_total_deposits,2,0.0788976167847691,0.14576615923183922,-0.2068040553096358,0.364599288879174,0.5883273209942779,91,
matched_total_deposits,4,0.3609512504283951,0.15355620864404637,0.059981081486064236,0.6619214193707259,0.018742505900802398,89,
matched_total_deposits,8,0.28304272975668615,0.16930516583280708,-0.048795395275615716,0.614880854788988,0.09456568515904551,85,
other_component_qoq,0,-0.5287295629126406,0.19565099863887955,-0.9122055202448445,-0.1452536055804367,0.006883845017963353,93,
other_component_qoq,1,0.22963053389300842,0.27380740375333973,-0.30703197746353744,0.7662930452495542,0.4016617365960524,92,
other_component_qoq,2,-0.0647422869805897,0.1910382841391376,-0.4391773238932994,0.30969274993212,0.7346873812948849,91,
other_component_qoq,4,-0.19314094533196782,0.20924694271002953,-0.6032649530436257,0.21698306237969003,0.35599221955288196,89,
other_component_qoq,8,-0.10875720171191633,0.10973541820244563,-0.3238386213887098,0.1063242179648771,0.32164374413911445,85,
