job_id,outcome,horizon,beta,se,lower95,upper95,z_score,p_value_normal,n,treatment_id,control_ids_used,response_type,inference_method,covariance_estimator,covariance_lags,rsquared,warning_flags,dropped_control_ids,dml_fold_count,ridge_alpha,nuisance_r2_outcome,nuisance_r2_treatment
baseline_tdc_lp_fx,broad_dollar_change,0,3.684761469524745e-06,2.293776442243816e-06,-8.110403572731344e-07,8.180563296322625e-06,1.606416999348132,0.10818231827539382,79,tdc_bank_only_qoq,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,dflmx_k200_f1,dflmx_k200_f2,dflmx_k200_f3,dflmx_k200_f4",direct_at_h,dml_crossfit_ridge_newey_west,newey_west,1,0.048451,,,3,1.0,0.0,0.490712
baseline_tdc_lp_fx,broad_dollar_change,1,-1.0849442093430828e-06,2.7976581895756065e-06,-6.568354260911271e-06,4.3984658422251065e-06,-0.3878044192052155,0.6981607749233307,80,tdc_bank_only_qoq,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,dflmx_k200_f1,dflmx_k200_f2,dflmx_k200_f3,dflmx_k200_f4",direct_at_h,dml_crossfit_ridge_newey_west,newey_west,1,0.003763,,,3,1.0,0.0,0.481927
baseline_tdc_lp_fx,broad_dollar_change,2,-3.0787420425699275e-06,1.977633214170257e-06,-6.954903142343631e-06,7.97419057203776e-07,-1.5567811161897662,0.11952246211457096,81,tdc_bank_only_qoq,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,dflmx_k200_f1,dflmx_k200_f2,dflmx_k200_f3,dflmx_k200_f4",direct_at_h,dml_crossfit_ridge_newey_west,newey_west,2,0.039478,,,3,1.0,0.0,0.39075
baseline_tdc_lp_fx,broad_dollar_change,4,-1.363452716792711e-06,1.7489136450193326e-06,-4.791323461030603e-06,2.0644180274451806e-06,-0.7795997936637056,0.4356264774116223,81,tdc_bank_only_qoq,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,dflmx_k200_f1,dflmx_k200_f2,dflmx_k200_f3,dflmx_k200_f4",direct_at_h,dml_crossfit_ridge_newey_west,newey_west,4,0.007052,,,3,1.0,0.0,0.270831
baseline_tdc_lp_fx,broad_dollar_change,8,-6.505604264313954e-06,2.425097992751067e-06,-1.1258796330106045e-05,-1.7524121985218629e-06,-2.6826150051503284,0.007304903057256729,81,tdc_bank_only_qoq,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,dflmx_k200_f1,dflmx_k200_f2,dflmx_k200_f3,dflmx_k200_f4",direct_at_h,dml_crossfit_ridge_newey_west,newey_west,8,0.124807,,,3,1.0,0.0,0.327607
