job_id,outcome,horizon,beta,se,lower95,upper95,n,treatment_id,response_type,inference_method
tdcpass_identity_baseline_deposits,tdcpass_tdc_bank_only_qoq,0,128.49398892100794,6.544390948326385,115.66698266228822,141.32099517972765,68,tdcpass_tdc_residual_z,cumulative_sum_h0_to_h,ols_classical_scaffold
tdcpass_identity_baseline_deposits,tdcpass_tdc_bank_only_qoq,1,177.5397464260025,19.566560960121127,139.18928694416508,215.8902059078399,67,tdcpass_tdc_residual_z,cumulative_sum_h0_to_h,ols_classical_scaffold
tdcpass_identity_baseline_deposits,tdcpass_tdc_bank_only_qoq,2,238.7754810647519,31.142807164567976,177.73557902219866,299.81538310730514,66,tdcpass_tdc_residual_z,cumulative_sum_h0_to_h,ols_classical_scaffold
tdcpass_identity_baseline_deposits,tdcpass_tdc_bank_only_qoq,4,278.13971316628346,55.14499526619368,170.05552244454384,386.2239038880231,64,tdcpass_tdc_residual_z,cumulative_sum_h0_to_h,ols_classical_scaffold
tdcpass_identity_baseline_deposits,tdcpass_tdc_bank_only_qoq,8,347.694638673054,99.6012361942354,152.4762157323526,542.9130616137554,60,tdcpass_tdc_residual_z,cumulative_sum_h0_to_h,ols_classical_scaffold
tdcpass_identity_baseline_deposits,tdcpass_total_deposits_bank_qoq,0,55.75033524806068,18.137924060903504,20.20000408868981,91.30066640743155,68,tdcpass_tdc_residual_z,cumulative_sum_h0_to_h,ols_classical_scaffold
tdcpass_identity_baseline_deposits,tdcpass_total_deposits_bank_qoq,1,95.80473374494167,32.76721886293391,31.58098477359121,160.02848271629213,67,tdcpass_tdc_residual_z,cumulative_sum_h0_to_h,ols_classical_scaffold
tdcpass_identity_baseline_deposits,tdcpass_total_deposits_bank_qoq,2,119.35089296741067,45.17059437480585,30.816527992791208,207.88525794203014,66,tdcpass_tdc_residual_z,cumulative_sum_h0_to_h,ols_classical_scaffold
tdcpass_identity_baseline_deposits,tdcpass_total_deposits_bank_qoq,4,167.33069747889883,71.43101134733926,27.32591523811388,307.3354797196838,64,tdcpass_tdc_residual_z,cumulative_sum_h0_to_h,ols_classical_scaffold
tdcpass_identity_baseline_deposits,tdcpass_total_deposits_bank_qoq,8,114.22386198654385,106.8777799801149,-95.25658677448135,323.704310747569,60,tdcpass_tdc_residual_z,cumulative_sum_h0_to_h,ols_classical_scaffold
tdcpass_identity_baseline_deposits,tdcpass_other_component_qoq,0,-72.74365367294725,17.70256604559661,-107.4406831223166,-38.04662422357789,68,tdcpass_tdc_residual_z,cumulative_sum_h0_to_h,ols_classical_scaffold
tdcpass_identity_baseline_deposits,tdcpass_other_component_qoq,1,-81.73501268106101,29.68381444284639,-139.91528898903994,-23.554736373082086,67,tdcpass_tdc_residual_z,cumulative_sum_h0_to_h,ols_classical_scaffold
tdcpass_identity_baseline_deposits,tdcpass_other_component_qoq,2,-119.42458809734124,35.787678989373966,-189.5684389165142,-49.280737278168274,66,tdcpass_tdc_residual_z,cumulative_sum_h0_to_h,ols_classical_scaffold
tdcpass_identity_baseline_deposits,tdcpass_other_component_qoq,4,-110.80901568738484,43.3154382407885,-195.7072746393303,-25.910756735439378,64,tdcpass_tdc_residual_z,cumulative_sum_h0_to_h,ols_classical_scaffold
tdcpass_identity_baseline_deposits,tdcpass_other_component_qoq,8,-233.47077668650994,56.509112652122155,-344.2286374846694,-122.71291588835051,60,tdcpass_tdc_residual_z,cumulative_sum_h0_to_h,ols_classical_scaffold
